<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it</a>,📝,1.82@@1.82,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,65.64 ± 0.95 / 70.51 ± 1.00@@65.64,74.04 ± 0.82 / 61.04 ± 1.51@@74.04,47.85 ± 1.42 / 73.30 ± 1.03@@47.85,77.12 ± 0.58 / 55.52 ± 1.13@@77.12,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,1.83@@1.83,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,64.24 ± 0.56 / 69.47 ± 0.41@@64.24,65.25 ± 1.60 / 57.15 ± 1.66@@65.25,58.02 ± 1.16 / 77.38 ± 0.71@@58.02,76.82 ± 0.71 / 59.29 ± 1.09@@76.82,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200
<a href='https://hf.co/allenai/OLMo-2-1124-13B'>allenai/OLMo-2-1124-13B</a>,🧠,1.84@@1.84,13716198400.0,100352.0,4096.0,✓,✗,(✓),✓,68.25 ± 0.54 / 60.37 ± 0.70@@68.25,55.79 ± 2.71 / 49.12 ± 2.15@@55.79,49.86 ± 1.45 / 74.25 ± 0.86@@49.86,90.85 ± 0.39 / 82.07 ± 0.75@@90.85,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,1.85@@1.85,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,67.34 ± 1.09 / 72.06 ± 0.45@@67.34,68.12 ± 1.84 / 63.92 ± 1.24@@68.12,42.67 ± 2.50 / 65.37 ± 2.42@@42.67,83.74 ± 1.03 / 70.94 ± 1.57@@83.74,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct</a>,📝,1.86@@1.86,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,65.28 ± 1.12 / 71.00 ± 0.89@@65.28,68.94 ± 1.27 / 54.41 ± 1.53@@68.94,44.18 ± 1.51 / 70.50 ± 1.39@@44.18,82.80 ± 0.93 / 68.81 ± 1.41@@82.80,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,1.86@@1.86,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,63.09 ± 1.28 / 67.54 ± 0.72@@63.09,66.63 ± 1.52 / 59.46 ± 1.51@@66.63,46.40 ± 2.78 / 71.06 ± 2.05@@46.40,84.16 ± 1.18 / 73.81 ± 1.76@@84.16,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,1.86@@1.86,?,?,?,✓,✗,(✓),✓,61.65 ± 1.81 / 69.15 ± 1.05@@61.65,65.00 ± 1.72 / 53.27 ± 1.34@@65.00,50.33 ± 1.74 / 73.48 ± 1.58@@50.33,83.61 ± 0.63 / 70.34 ± 1.19@@83.61,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,1.87@@1.87,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,66.67 ± 0.59 / 66.03 ± 0.97@@66.67,69.86 ± 1.04 / 60.26 ± 1.28@@69.86,43.02 ± 1.44 / 69.60 ± 0.90@@43.02,81.44 ± 0.48 / 63.60 ± 0.80@@81.44,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000
<a href='https://hf.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf</a>,📝,1.87@@1.87,68976648192.0,32000.0,32764.0,✓,✗,(✓),✗,68.54 ± 1.10 / 72.91 ± 0.58@@68.54,71.78 ± 1.40 / 59.29 ± 2.63@@71.78,45.80 ± 3.08 / 72.58 ± 1.38@@45.80,72.99 ± 1.48 / 50.49 ± 2.62@@72.99,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.87@@1.87,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,65.17 ± 2.35 / 70.32 ± 1.38@@65.17,58.41 ± 3.41 / 53.34 ± 2.75@@58.41,54.08 ± 2.64 / 76.57 ± 1.45@@54.08,84.30 ± 2.32 / 73.04 ± 3.61@@84.30,16.5.0.dev0@@160500,15.5.0@@150500,16.5.0.dev0@@160500,15.5.0@@150500
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (val)</a>,📝,1.89@@1.89,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,58.25 ± 1.83 / 69.14 ± 1.03@@58.25,70.41 ± 0.66 / 65.43 ± 0.76@@70.41,49.87 ± 1.35 / 74.45 ± 0.63@@49.87,78.15 ± 0.46 / 55.30 ± 0.99@@78.15,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/meta-llama/Llama-2-70b-chat-hf'>meta-llama/Llama-2-70b-chat-hf</a>,📝,1.90@@1.90,68976653312.0,32000.0,4096.0,✓,✗,(✓),✓,67.09 ± 1.11 / 69.78 ± 0.93@@67.09,70.65 ± 0.84 / 56.88 ± 1.20@@70.65,40.89 ± 1.68 / 65.80 ± 1.89@@40.89,77.57 ± 0.63 / 55.72 ± 1.16@@77.57,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (zero-shot, val)</a>",📝,1.90@@1.90,?,256128.0,1048576.0,✓,✗,✗,✓,63.57 ± 2.14 / 67.86 ± 1.59@@63.57,74.72 ± 1.73 / 70.35 ± 1.65@@74.72,40.88 ± 4.13 / 69.87 ± 2.03@@40.88,78.75 ± 0.68 / 53.72 ± 1.51@@78.75,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,1.90@@1.90,?,256128.0,1048576.0,✓,✗,✗,✓,64.90 ± 1.94 / 70.68 ± 1.72@@64.90,76.45 ± 1.93 / 62.87 ± 2.04@@76.45,39.87 ± 3.95 / 68.29 ± 1.98@@39.87,75.06 ± 1.17 / 46.99 ± 1.45@@75.06,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,1.91@@1.91,?,256128.0,1048576.0,✓,✗,✗,✓,62.96 ± 1.56 / 70.52 ± 1.48@@62.96,77.49 ± 1.39 / 51.11 ± 1.23@@77.49,39.09 ± 5.06 / 69.31 ± 2.57@@39.09,76.81 ± 0.60 / 55.49 ± 1.55@@76.81,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512</a>,🧠,1.91@@1.91,4251743232.0,131072.0,8192.0,✓,✗,(✓),✓,65.27 ± 0.82 / 67.15 ± 1.12@@65.27,67.24 ± 3.90 / 62.53 ± 2.95@@67.24,41.19 ± 3.14 / 67.81 ± 3.72@@41.19,84.82 ± 2.01 / 74.31 ± 2.96@@84.82,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200
<a href='https://hf.co/RekaAI/reka-flash-3.1'>RekaAI/reka-flash-3.1</a>,🤔,1.91@@1.91,20905482240.0,100352.0,98304.0,✓,✗,(✓),✗,69.83 ± 0.57 / 69.55 ± 1.24@@69.83,77.39 ± 0.71 / 69.50 ± 1.60@@77.39,45.31 ± 1.08 / 69.61 ± 0.70@@45.31,60.55 ± 1.89 / 52.39 ± 1.78@@60.55,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,1.91@@1.91,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,63.75 ± 1.01 / 70.29 ± 0.56@@63.75,66.25 ± 2.02 / 58.37 ± 2.38@@66.25,44.97 ± 1.89 / 69.50 ± 1.86@@44.97,83.75 ± 0.98 / 72.35 ± 1.46@@83.75,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,1.91@@1.91,7298011136.0,100278.0,65536.0,✓,✗,(✓),✓,66.76 ± 0.76 / 63.05 ± 1.10@@66.76,59.87 ± 0.69 / 48.17 ± 1.79@@59.87,43.72 ± 2.36 / 70.24 ± 2.09@@43.72,90.07 ± 1.10 / 82.17 ± 1.70@@90.07,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,1.91@@1.91,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,63.72 ± 1.29 / 70.85 ± 0.81@@63.72,68.77 ± 1.17 / 52.08 ± 1.76@@68.77,45.88 ± 1.95 / 72.36 ± 1.00@@45.88,77.81 ± 0.64 / 59.11 ± 1.39@@77.81,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#no-thinking (zero-shot, val)</a>",📝,1.91@@1.91,?,256128.0,1048576.0,✓,✗,✗,✓,62.96 ± 1.56 / 70.52 ± 1.48@@62.96,77.49 ± 1.39 / 51.11 ± 1.23@@77.49,39.09 ± 5.06 / 69.31 ± 2.57@@39.09,76.81 ± 0.60 / 55.49 ± 1.55@@76.81,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,1.92@@1.92,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,62.18 ± 0.99 / 69.88 ± 0.75@@62.18,69.42 ± 1.60 / 57.56 ± 1.26@@69.42,43.20 ± 1.70 / 69.73 ± 1.00@@43.20,82.54 ± 1.16 / 69.07 ± 1.50@@82.54,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen1.5-14B-Chat'>Qwen/Qwen1.5-14B-Chat</a>,📝,1.92@@1.92,14167290880.0,152064.0,32768.0,✗,✗,(✓),✓,64.59 ± 1.08 / 71.67 ± 0.67@@64.59,71.64 ± 1.18 / 63.78 ± 0.87@@71.64,37.06 ± 2.20 / 68.25 ± 1.01@@37.06,81.53 ± 1.09 / 62.75 ± 1.88@@81.53,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/google/gemma-2-27b-it'>google/gemma-2-27b-it</a>,📝,1.92@@1.92,27227128320.0,256000.0,8192.0,✓,✗,(✓),✓,68.57 ± 1.10 / 73.40 ± 0.80@@68.57,56.64 ± 1.24 / 50.47 ± 1.23@@56.64,49.62 ± 1.57 / 73.18 ± 0.88@@49.62,81.82 ± 0.89 / 61.84 ± 1.64@@81.82,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B</a>,📝,1.92@@1.92,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,62.18 ± 0.99 / 69.88 ± 0.75@@62.18,69.42 ± 1.60 / 57.56 ± 1.26@@69.42,43.20 ± 1.70 / 69.73 ± 1.00@@43.20,82.54 ± 1.16 / 69.07 ± 1.50@@82.54,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,1.92@@1.92,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,61.10 ± 1.73 / 69.41 ± 1.37@@61.10,65.86 ± 1.33 / 57.23 ± 0.87@@65.86,46.67 ± 2.05 / 71.16 ± 1.76@@46.67,84.71 ± 2.13 / 72.84 ± 2.74@@84.71,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (zero-shot, val)</a>",📝,1.93@@1.93,?,256128.0,1048576.0,✓,✗,✗,✓,60.78 ± 1.56 / 67.60 ± 1.14@@60.78,71.52 ± 1.66 / 53.21 ± 1.83@@71.52,48.59 ± 4.64 / 73.10 ± 2.39@@48.59,75.50 ± 0.92 / 51.85 ± 1.35@@75.50,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://hf.co/ThatsGroes/gemma-2-27b-it-FP8-Dynamic'>ThatsGroes/gemma-2-27b-it-FP8-Dynamic</a>,📝,1.93@@1.93,28410968576.0,256000.0,8192.0,✓,✗,(✓),✗,68.81 ± 1.01 / 72.72 ± 0.68@@68.81,57.07 ± 1.39 / 51.54 ± 1.36@@57.07,49.26 ± 1.51 / 72.69 ± 0.79@@49.26,81.05 ± 0.87 / 60.78 ± 1.66@@81.05,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://hf.co/ai21labs/Jamba-v0.1'>ai21labs/Jamba-v0.1</a>,🧠,1.94@@1.94,51570323328.0,65536.0,262144.0,✓,✗,(✓),✗,67.82 ± 1.01 / 68.20 ± 1.18@@67.82,57.58 ± 4.03 / 52.34 ± 2.88@@57.58,47.71 ± 1.71 / 71.79 ± 1.06@@47.71,82.55 ± 1.82 / 69.85 ± 2.87@@82.55,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,1.94@@1.94,?,?,?,✓,✗,(✓),✓,64.56 ± 1.28 / 69.73 ± 0.60@@64.56,65.41 ± 1.89 / 55.21 ± 2.10@@65.41,49.52 ± 3.32 / 73.13 ± 2.63@@49.52,75.19 ± 0.80 / 57.98 ± 1.35@@75.19,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,1.94@@1.94,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,66.80 ± 1.52 / 74.14 ± 0.80@@66.80,78.12 ± 1.34 / 74.61 ± 1.04@@78.12,23.29 ± 4.72 / 47.89 ± 3.20@@23.29,86.81 ± 0.55 / 74.55 ± 0.85@@86.81,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,1.95@@1.95,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,64.45 ± 2.37 / 73.30 ± 1.63@@64.45,75.15 ± 0.98 / 70.15 ± 1.18@@75.15,27.39 ± 3.12 / 49.63 ± 3.07@@27.39,85.83 ± 0.36 / 72.22 ± 0.55@@85.83,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B</a>,🤔,1.95@@1.95,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,65.94 ± 1.15 / 68.66 ± 1.20@@65.94,60.72 ± 2.91 / 47.59 ± 2.33@@60.72,45.88 ± 1.26 / 69.67 ± 0.89@@45.88,82.82 ± 0.39 / 67.87 ± 0.70@@82.82,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
<a href='https://hf.co/allenai/OLMo-2-1124-7B-Instruct'>allenai/OLMo-2-1124-7B-Instruct</a>,📝,1.96@@1.96,7298617344.0,100352.0,4096.0,✓,✗,(✓),✓,66.47 ± 1.01 / 71.67 ± 0.74@@66.47,61.89 ± 0.74 / 50.75 ± 0.96@@61.89,44.04 ± 1.09 / 71.28 ± 0.50@@44.04,82.43 ± 1.02 / 69.03 ± 1.50@@82.43,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,1.97@@1.97,561192082.0,250002.0,512.0,✓,✗,(✓),✓,52.19 ± 12.17 / 54.33 ± 5.98@@52.19,88.15 ± 0.75 / 87.62 ± 0.70@@88.15,41.74 ± 17.43 / 67.46 ± 11.75@@41.74,70.90 ± 1.31 / 57.85 ± 1.59@@70.90,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#minimal (zero-shot, val)</a>",🤔,1.98@@1.98,?,100256.0,272000.0,✓,✗,✗,✓,61.58 ± 1.66 / 68.77 ± 1.28@@61.58,68.47 ± 2.18 / 43.58 ± 0.95@@68.47,40.01 ± 2.65 / 63.74 ± 1.46@@40.01,81.41 ± 0.78 / 62.32 ± 1.00@@81.41,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,1.98@@1.98,22637328384.0,128000.0,4096.0,✓,✗,(✓),✓,67.03 ± 1.09 / 68.51 ± 1.12@@67.03,65.86 ± 1.27 / 55.86 ± 1.37@@65.86,36.06 ± 1.77 / 66.67 ± 1.37@@36.06,82.88 ± 0.52 / 66.52 ± 1.13@@82.88,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/google/gemma-2-9b-it'>google/gemma-2-9b-it</a>,📝,1.99@@1.99,9241705984.0,256000.0,8192.0,✓,✗,(✓),✓,69.27 ± 0.65 / 70.64 ± 0.67@@69.27,52.20 ± 1.52 / 46.05 ± 1.22@@52.20,47.58 ± 1.24 / 70.85 ± 1.11@@47.58,80.99 ± 0.64 / 60.39 ± 1.10@@80.99,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://hf.co/allenai/OLMo-2-1124-7B'>allenai/OLMo-2-1124-7B</a>,🧠,1.99@@1.99,7298617344.0,100352.0,4096.0,✓,✗,(✓),✓,69.18 ± 0.34 / 59.68 ± 0.44@@69.18,57.67 ± 1.45 / 48.90 ± 1.10@@57.67,37.32 ± 2.36 / 67.17 ± 1.85@@37.32,87.82 ± 0.63 / 76.16 ± 1.40@@87.82,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/arcee-ai/AFM-4.5B-Base'>arcee-ai/AFM-4.5B-Base</a>,🧠,2.01@@2.01,4619184640.0,128004.0,65536.0,✓,✗,(✓),✗,67.01 ± 0.57 / 60.04 ± 0.72@@67.01,53.90 ± 3.07 / 46.91 ± 2.28@@53.90,49.54 ± 1.09 / 73.33 ± 0.69@@49.54,78.59 ± 2.15 / 62.86 ± 3.21@@78.59,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,2.01@@2.01,?,128000.0,4096.0,✓,✗,(✓),✓,64.88 ± 0.91 / 69.28 ± 0.78@@64.88,60.66 ± 2.30 / 55.68 ± 2.04@@60.66,39.36 ± 2.21 / 68.76 ± 1.15@@39.36,85.78 ± 1.33 / 75.57 ± 1.94@@85.78,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,2.02@@2.02,8000000000.0,256128.0,1048576.0,✓,✗,✗,✓,60.88 ± 1.23 / 68.24 ± 1.14@@60.88,74.12 ± 1.05 / 57.88 ± 1.54@@74.12,38.49 ± 3.49 / 69.15 ± 1.76@@38.49,74.49 ± 1.03 / 49.08 ± 1.38@@74.49,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.02@@2.02,32233522176.0,100278.0,65536.0,✓,✗,(✓),✓,68.67 ± 0.76 / 67.39 ± 1.06@@68.67,73.56 ± 2.49 / 70.03 ± 1.80@@73.56,12.89 ± 4.68 / 38.05 ± 2.70@@12.89,93.12 ± 0.50 / 86.18 ± 0.86@@93.12,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,2.03@@2.03,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,54.28 ± 3.68 / 61.89 ± 2.39@@54.28,67.41 ± 1.09 / 51.52 ± 2.37@@67.41,46.44 ± 5.23 / 71.74 ± 2.93@@46.44,80.33 ± 1.19 / 64.30 ± 1.70@@80.33,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8 (val)</a>,🤔,2.03@@2.03,2680100864.0,131072.0,262144.0,✓,✗,✗,✓,63.70 ± 1.53 / 68.49 ± 1.04@@63.70,75.01 ± 0.56 / 68.84 ± 0.90@@75.01,58.52 ± 1.18 / 79.01 ± 0.57@@58.52,43.52 ± 1.60 / 28.72 ± 1.54@@43.52,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,2.04@@2.04,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,63.52 ± 1.52 / 70.51 ± 1.07@@63.52,63.10 ± 1.45 / 55.74 ± 1.69@@63.10,59.18 ± 1.98 / 77.23 ± 1.33@@59.18,57.06 ± 1.21 / 52.51 ± 1.27@@57.06,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot, val)</a>",🤔,2.04@@2.04,?,?,400000.0,✓,✗,✗,✓,59.68 ± 1.57 / 67.53 ± 1.14@@59.68,59.75 ± 0.69 / 34.10 ± 0.55@@59.75,50.93 ± 1.57 / 74.67 ± 0.83@@50.93,79.24 ± 0.27 / 60.09 ± 0.61@@79.24,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.04@@2.04,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,68.43 ± 1.05 / 70.65 ± 1.20@@68.43,75.56 ± 1.02 / 72.53 ± 0.72@@75.56,62.80 ± 1.25 / 81.11 ± 0.77@@62.80,28.56 ± 10.38 / 17.81 ± 11.01@@28.56,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,2.05@@2.05,40433885184.0,256000.0,32768.0,✓,✗,(✓),✓,64.10 ± 1.77 / 70.60 ± 0.88@@64.10,64.45 ± 1.74 / 60.20 ± 1.58@@64.45,35.38 ± 6.44 / 61.34 ± 6.96@@35.38,84.01 ± 1.15 / 73.04 ± 1.64@@84.01,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/mistralai/Voxtral-Mini-3B-2507'>mistralai/Voxtral-Mini-3B-2507</a>,📝,2.05@@2.05,4676271104.0,131072.0,?,✓,✗,(✓),✓,64.31 ± 1.59 / 69.94 ± 0.69@@64.31,60.52 ± 4.70 / 56.25 ± 3.04@@60.52,34.52 ± 2.62 / 65.77 ± 1.35@@34.52,84.74 ± 2.50 / 73.72 ± 3.65@@84.74,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.05@@2.05,32234279936.0,100352.0,4096.0,✗,✗,(✓),✓,69.75 ± 0.63 / 73.18 ± 0.61@@69.75,73.55 ± 0.75 / 52.23 ± 0.87@@73.55,59.24 ± 2.12 / 79.12 ± 1.27@@59.24,36.70 ± 1.08 / 0.00 ± 0.00@@36.70,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
