<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.06@@2.06,?,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,63.64 ± 1.38 / 71.04 ± 1.12@@63.64,50.56 ± 2.39 / 44.39 ± 2.29@@50.56,56.23 ± 1.79 / 74.84 ± 1.30@@56.23,54.49 ± 0.63 / 51.30 ± 0.50@@54.49,38.51 ± 1.38 / 40.03 ± 1.44@@38.51,81.80 ± 1.06 / 86.13 ± 0.77@@81.80,70.22 ± 1.01 / 76.91 ± 0.81@@70.22,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,2.07@@2.07,0.1,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,57.34 ± 1.96 / 67.21 ± 1.45@@57.34,57.66 ± 2.49 / 53.34 ± 1.52@@57.66,52.13 ± 1.73 / 75.78 ± 1.07@@52.13,80.31 ± 1.14 / 65.18 ± 1.52@@80.31,41.54 ± 0.24 / 43.89 ± 0.31@@41.54,66.01 ± 2.04 / 75.08 ± 1.45@@66.01,48.51 ± 1.01 / 61.25 ± 0.81@@48.51,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,2.07@@2.07,0.15,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,54.28 ± 3.68 / 61.89 ± 2.39@@54.28,67.41 ± 1.09 / 51.52 ± 2.37@@67.41,46.44 ± 5.23 / 71.74 ± 2.93@@46.44,80.33 ± 1.19 / 64.30 ± 1.70@@80.33,41.87 ± 0.31 / 44.22 ± 0.34@@41.87,60.31 ± 3.45 / 70.62 ± 2.45@@60.31,43.08 ± 2.20 / 56.21 ± 1.82@@43.08,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,2.10@@2.10,0.24,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,57.48 ± 2.32 / 67.29 ± 1.69@@57.48,57.80 ± 2.48 / 52.73 ± 1.93@@57.80,51.83 ± 1.84 / 75.72 ± 1.06@@51.83,72.44 ± 3.64 / 54.13 ± 3.47@@72.44,41.88 ± 0.34 / 44.51 ± 0.44@@41.88,65.20 ± 1.75 / 74.38 ± 1.24@@65.20,47.85 ± 1.15 / 60.76 ± 0.89@@47.85,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8 (val)</a>,🤔,2.10@@2.10,?,2680100864.0,131072.0,262144.0,✓,✗,✗,✓,63.70 ± 1.53 / 68.49 ± 1.04@@63.70,75.01 ± 0.56 / 68.84 ± 0.90@@75.01,58.52 ± 1.18 / 79.01 ± 0.57@@58.52,43.52 ± 1.60 / 28.72 ± 1.54@@43.52,39.20 ± 0.18 / 41.78 ± 0.15@@39.20,72.49 ± 1.15 / 79.53 ± 0.82@@72.49,40.44 ± 1.29 / 54.61 ± 1.08@@40.44,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.12@@2.12,?,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,64.24 ± 0.56 / 69.47 ± 0.41@@64.24,65.25 ± 1.60 / 57.15 ± 1.66@@65.25,58.02 ± 1.16 / 77.38 ± 0.71@@58.02,76.82 ± 0.71 / 59.29 ± 1.09@@76.82,27.67 ± 1.24 / 29.75 ± 1.34@@27.67,65.53 ± 5.12 / 72.71 ± 4.43@@65.53,57.49 ± 2.10 / 67.73 ± 1.62@@57.49,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.15.0.dev0@@161500,16.12.0.dev0@@161200,16.12.0.dev0@@161200
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.16@@2.16,4.48,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,59.58 ± 1.15 / 68.15 ± 0.53@@59.58,59.03 ± 2.54 / 47.15 ± 2.22@@59.03,42.04 ± 3.84 / 68.44 ± 3.98@@42.04,78.00 ± 1.02 / 63.88 ± 1.14@@78.00,42.72 ± 0.13 / 46.22 ± 0.15@@42.72,57.85 ± 1.94 / 69.04 ± 1.31@@57.85,38.38 ± 3.58 / 51.61 ± 3.72@@38.38,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.17@@2.17,2.74,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,66.61 ± 0.84 / 68.70 ± 0.61@@66.61,71.18 ± 1.44 / 64.63 ± 1.56@@71.18,47.45 ± 1.55 / 72.66 ± 1.28@@47.45,37.01 ± 7.94 / 16.60 ± 6.33@@37.01,41.00 ± 0.19 / 43.60 ± 0.28@@41.00,69.57 ± 1.47 / 77.70 ± 1.05@@69.57,45.47 ± 2.15 / 57.87 ± 1.98@@45.47,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.20@@2.20,N/A,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,62.75 ± 1.96 / 69.95 ± 1.00@@62.75,59.95 ± 2.60 / 54.75 ± 2.37@@59.95,32.33 ± 6.00 / 57.44 ± 5.97@@32.33,82.92 ± 2.68 / 71.40 ± 4.02@@82.92,36.12 ± 4.09 / 36.98 ± 4.58@@36.12,76.44 ± 1.79 / 82.34 ± 1.41@@76.44,32.16 ± 4.21 / 45.47 ± 3.98@@32.16,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,2.23@@2.23,7.4,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,61.96 ± 2.60 / 65.93 ± 1.94@@61.96,57.91 ± 2.14 / 47.32 ± 2.17@@57.91,26.79 ± 3.88 / 62.61 ± 1.76@@26.79,81.00 ± 1.11 / 68.96 ± 1.49@@81.00,41.86 ± 0.08 / 44.29 ± 0.12@@41.86,60.25 ± 3.20 / 70.51 ± 2.37@@60.25,36.27 ± 3.90 / 50.98 ± 3.48@@36.27,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.17.0.dev0@@161700,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.28@@2.28,N/A,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,64.54 ± 1.77 / 66.32 ± 1.11@@64.54,51.07 ± 4.42 / 45.64 ± 3.51@@51.07,29.41 ± 5.71 / 60.40 ± 6.06@@29.41,81.73 ± 1.58 / 67.89 ± 1.85@@81.73,40.65 ± 2.85 / 43.18 ± 3.42@@40.65,71.18 ± 1.45 / 78.83 ± 1.01@@71.18,21.30 ± 2.04 / 37.75 ± 1.71@@21.30,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,2.29@@2.29,8.53,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,61.55 ± 2.40 / 66.25 ± 1.88@@61.55,56.75 ± 1.98 / 46.47 ± 1.96@@56.75,24.56 ± 4.16 / 61.60 ± 1.94@@24.56,79.70 ± 1.07 / 67.05 ± 1.47@@79.70,41.86 ± 0.17 / 44.32 ± 0.22@@41.86,59.69 ± 2.22 / 70.08 ± 1.64@@59.69,35.25 ± 3.91 / 49.69 ± 3.45@@35.25,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.17.0.dev0@@161700,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct</a>,📝,2.37@@2.37,0.02,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,63.29 ± 1.52 / 67.83 ± 1.39@@63.29,55.38 ± 1.37 / 45.21 ± 0.78@@55.38,11.56 ± 2.28 / 44.18 ± 2.27@@11.56,76.49 ± 0.93 / 62.47 ± 1.24@@76.49,42.61 ± 0.14 / 44.44 ± 0.18@@42.61,62.36 ± 1.17 / 71.78 ± 0.94@@62.36,35.25 ± 1.58 / 50.65 ± 1.31@@35.25,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking</a>,📝,2.39@@2.39,0.92,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,60.80 ± 1.87 / 69.13 ± 1.03@@60.80,54.28 ± 3.04 / 47.78 ± 2.80@@54.28,44.67 ± 1.23 / 72.09 ± 0.61@@44.67,21.48 ± 1.29 / 2.49 ± 1.00@@21.48,44.49 ± 0.26 / 47.79 ± 0.30@@44.49,63.57 ± 2.79 / 72.89 ± 2.13@@63.57,43.56 ± 1.65 / 57.05 ± 1.41@@43.56,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-4-31B'>google/gemma-4-31B (val)</a>,🧠,2.40@@2.40,N/A,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,52.42 ± 3.23 / 65.17 ± 2.02@@52.42,68.34 ± 1.96 / 63.91 ± 1.35@@68.34,35.80 ± 3.47 / 67.03 ± 1.71@@35.80,79.04 ± 1.15 / 62.84 ± 1.39@@79.04,30.37 ± 2.00 / 31.26 ± 2.10@@30.37,79.63 ± 1.43 / 84.84 ± 1.05@@79.63,30.84 ± 2.86 / 47.34 ± 2.06@@30.84,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,2.42@@2.42,10.85,3606752256.0,128256.0,131072.0,✓,✗,(✓),✗,63.42 ± 1.92 / 65.04 ± 1.56@@63.42,65.09 ± 1.70 / 57.94 ± 1.86@@65.09,38.59 ± 1.73 / 67.52 ± 1.97@@38.59,8.34 ± 0.90 / 0.00 ± 0.00@@8.34,42.77 ± 0.19 / 45.44 ± 0.29@@42.77,64.63 ± 1.65 / 73.30 ± 1.37@@64.63,53.86 ± 1.46 / 64.91 ± 1.14@@53.86,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,2.43@@2.43,N/A,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,64.43 ± 2.05 / 64.93 ± 0.89@@64.43,53.06 ± 3.22 / 48.02 ± 3.14@@53.06,25.80 ± 4.02 / 58.23 ± 5.07@@25.80,81.59 ± 1.79 / 70.43 ± 2.13@@81.59,35.26 ± 2.97 / 36.83 ± 3.61@@35.26,68.52 ± 2.53 / 75.98 ± 2.25@@68.52,22.42 ± 2.79 / 38.96 ± 2.24@@22.42,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.44@@2.44,N/A,9152319488.0,128000.0,4096.0,✓,✗,(✓),✓,62.99 ± 2.77 / 65.72 ± 2.04@@62.99,51.39 ± 2.64 / 43.89 ± 2.17@@51.39,28.47 ± 2.03 / 63.39 ± 1.05@@28.47,85.65 ± 1.47 / 75.57 ± 2.37@@85.65,35.57 ± 4.72 / 36.64 ± 5.36@@35.57,61.29 ± 2.19 / 70.74 ± 1.77@@61.29,23.42 ± 1.96 / 37.98 ± 1.12@@23.42,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,16.15.0.dev0@@161500,15.10.1.dev0@@151001,15.0.0@@150000
<a href='https://hf.co/Qwen/Qwen3.5-2B-Base'>Qwen/Qwen3.5-2B-Base (val)</a>,🧠,2.45@@2.45,N/A,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,53.25 ± 1.87 / 64.97 ± 1.68@@53.25,65.99 ± 1.23 / 52.13 ± 1.25@@65.99,9.44 ± 2.66 / 37.57 ± 1.62@@9.44,86.30 ± 0.54 / 76.16 ± 0.93@@86.30,36.52 ± 2.33 / 38.62 ± 2.74@@36.52,60.22 ± 1.15 / 70.08 ± 0.87@@60.22,30.08 ± 1.48 / 41.91 ± 1.41@@30.08,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (val)</a>,📝,2.48@@2.48,0.03,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,50.58 ± 1.31 / 62.33 ± 1.08@@50.58,57.00 ± 1.06 / 45.85 ± 1.48@@57.00,37.53 ± 2.74 / 64.81 ± 1.64@@37.53,73.57 ± 0.79 / 61.26 ± 0.72@@73.57,41.66 ± 0.12 / 45.36 ± 0.12@@41.66,44.33 ± 0.92 / 56.25 ± 0.82@@44.33,18.43 ± 1.27 / 37.97 ± 1.12@@18.43,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (val)</a>,📝,2.51@@2.51,7.97,2614341888.0,256000.0,8192.0,✗,✗,(✓),✗,59.82 ± 3.02 / 68.15 ± 1.16@@59.82,51.17 ± 3.36 / 38.88 ± 3.49@@51.17,16.36 ± 3.76 / 50.42 ± 3.24@@16.36,72.15 ± 2.20 / 58.32 ± 2.42@@72.15,43.88 ± 0.16 / 47.44 ± 0.18@@43.88,47.42 ± 3.21 / 58.71 ± 2.76@@47.42,16.90 ± 4.07 / 34.77 ± 3.35@@16.90,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.17.0.dev0@@161700,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/CohereLabs/tiny-aya-base'>CohereLabs/tiny-aya-base (val)</a>,🧠,2.60@@2.60,N/A,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,54.70 ± 2.79 / 66.71 ± 1.78@@54.70,41.40 ± 4.64 / 36.30 ± 3.50@@41.40,16.41 ± 6.62 / 50.36 ± 6.56@@16.41,87.78 ± 1.44 / 79.42 ± 2.41@@87.78,38.63 ± 0.93 / 40.03 ± 1.07@@38.63,65.91 ± 2.42 / 74.14 ± 1.82@@65.91,19.44 ± 2.89 / 32.93 ± 2.10@@19.44,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.17.0.dev0@@161700,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct (val)</a>,🤔,2.65@@2.65,?,4221757440.0,120818.0,262144.0,✓,✗,(✓),✓,57.63 ± 1.66 / 67.86 ± 1.20@@57.63,74.41 ± 0.92 / 63.84 ± 1.20@@74.41,46.20 ± 2.27 / 71.72 ± 1.36@@46.20,53.89 ± 0.55 / 0.00 ± 0.00@@53.89,40.91 ± 0.17 / 44.55 ± 0.17@@40.91,0.00 ± 0.00 / 28.98 ± 1.04@@0.00,0.00 ± 0.00 / 21.52 ± 0.55@@0.00,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,2.68@@2.68,1.13,2424375168.0,99000.0,28723.0,✗,✗,(✓),✓,64.47 ± 1.36 / 66.51 ± 1.76@@64.47,44.15 ± 1.81 / 40.57 ± 1.42@@44.15,16.76 ± 1.52 / 56.49 ± 1.22@@16.76,47.47 ± 5.92 / 24.59 ± 5.41@@47.47,42.69 ± 0.33 / 45.61 ± 0.33@@42.69,52.04 ± 1.55 / 63.93 ± 1.27@@52.04,21.55 ± 2.02 / 37.83 ± 2.14@@21.55,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct (val)</a>,🤔,2.70@@2.70,?,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,56.99 ± 1.73 / 64.99 ± 1.53@@56.99,70.42 ± 0.74 / 59.46 ± 1.43@@70.42,46.81 ± 1.68 / 72.91 ± 0.84@@46.81,52.97 ± 0.73 / 0.00 ± 0.00@@52.97,40.00 ± 0.19 / 43.80 ± 0.18@@40.00,0.00 ± 0.00 / 28.98 ± 1.04@@0.00,0.00 ± 0.00 / 21.52 ± 0.55@@0.00,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,2.71@@2.71,0.48,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,57.41 ± 1.47 / 67.04 ± 1.05@@57.41,57.79 ± 2.83 / 52.86 ± 1.96@@57.79,50.56 ± 1.09 / 74.98 ± 0.61@@50.56,41.43 ± 7.72 / 26.45 ± 6.98@@41.43,23.73 ± 3.53 / 23.87 ± 3.57@@23.73,63.11 ± 1.73 / 73.11 ± 1.18@@63.11,40.90 ± 1.82 / 55.26 ± 1.42@@40.90,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-4-26B-A4B'>google/gemma-4-26B-A4B (val)</a>,🧠,2.71@@2.71,N/A,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,40.61 ± 2.66 / 57.86 ± 1.74@@40.61,55.56 ± 1.38 / 49.63 ± 1.08@@55.56,28.10 ± 2.51 / 62.84 ± 1.24@@28.10,78.42 ± 1.64 / 62.61 ± 2.08@@78.42,29.10 ± 1.96 / 29.72 ± 2.09@@29.10,64.44 ± 1.95 / 73.32 ± 1.50@@64.44,23.90 ± 3.05 / 42.11 ± 2.25@@23.90,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/Qwen/Qwen3.5-0.8B-Base'>Qwen/Qwen3.5-0.8B-Base (val)</a>,🧠,2.71@@2.71,N/A,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,48.62 ± 1.45 / 61.61 ± 1.15@@48.62,57.54 ± 1.37 / 47.59 ± 1.33@@57.54,12.23 ± 1.93 / 40.88 ± 1.93@@12.23,81.16 ± 0.40 / 70.60 ± 0.73@@81.16,37.84 ± 2.32 / 41.11 ± 2.75@@37.84,46.04 ± 1.28 / 59.77 ± 0.91@@46.04,12.59 ± 1.11 / 34.49 ± 0.69@@12.59,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.01@@3.01,0.18,751632384.0,151936.0,40960.0,✓,✗,✗,✓,48.66 ± 5.01 / 49.24 ± 3.67@@48.66,42.18 ± 2.06 / 35.93 ± 1.92@@42.18,9.09 ± 2.09 / 47.10 ± 3.55@@9.09,52.30 ± 2.59 / 38.78 ± 2.16@@52.30,41.14 ± 0.36 / 43.39 ± 0.42@@41.14,31.77 ± 2.66 / 47.11 ± 2.09@@31.77,15.80 ± 1.57 / 35.44 ± 1.52@@15.80,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,3.03@@3.03,0.01,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,47.59 ± 2.84 / 58.32 ± 2.68@@47.59,41.95 ± 1.34 / 33.97 ± 1.22@@41.95,11.23 ± 1.06 / 54.68 ± 1.06@@11.23,37.54 ± 7.25 / 12.37 ± 6.22@@37.54,40.57 ± 0.34 / 43.58 ± 0.32@@40.57,49.95 ± 1.90 / 63.07 ± 1.49@@49.95,8.87 ± 0.81 / 29.59 ± 0.88@@8.87,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.21@@3.21,12.17,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,56.50 ± 1.94 / 62.93 ± 1.66@@56.50,45.78 ± 0.97 / 38.79 ± 1.30@@45.78,17.36 ± 1.57 / 57.44 ± 1.71@@17.36,15.24 ± 1.01 / 0.00 ± 0.00@@15.24,38.63 ± 0.19 / 41.25 ± 0.18@@38.63,27.08 ± 2.26 / 43.71 ± 1.74@@27.08,7.92 ± 1.01 / 28.11 ± 0.91@@7.92,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.24@@3.24,0.47,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,60.44 ± 1.88 / 66.21 ± 1.03@@60.44,45.07 ± 3.08 / 40.10 ± 2.27@@45.07,15.65 ± 2.49 / 56.42 ± 1.39@@15.65,14.61 ± 0.45 / 0.04 ± 0.03@@14.61,27.13 ± 0.77 / 28.14 ± 0.90@@27.13,53.63 ± 2.53 / 65.94 ± 1.78@@53.63,7.54 ± 1.16 / 30.68 ± 0.88@@7.54,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.31@@3.31,N/A,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,45.27 ± 2.55 / 58.23 ± 1.69@@45.27,32.67 ± 5.05 / 30.50 ± 4.50@@32.67,0.82 ± 1.42 / 48.68 ± 1.09@@0.82,66.08 ± 1.93 / 53.16 ± 1.83@@66.08,37.58 ± 2.08 / 41.34 ± 2.29@@37.58,1.43 ± 2.72 / 27.64 ± 1.87@@1.43,-0.42 ± 0.68 / 24.78 ± 0.52@@-0.42,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
