<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=15 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,2.08@@2.08,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,63.19 ± 1.12 / 75.08 ± 0.82@@63.19,70.10 ± 1.12 / 53.64 ± 2.49@@70.10,71.25 ± 1.51 / 56.21 ± 2.34@@71.25,60.49 ± 1.58 / 79.17 ± 1.26@@60.49,44.53 ± 1.39 / 70.27 ± 1.74@@44.53,27.99 ± 2.32 / 0.14 ± 0.24@@27.99,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000
<a href='https://hf.co/microsoft/phi-4'>microsoft/phi-4</a>,📝,2.08@@2.08,14659507200.0,100352.0,16384.0,✓,✗,(✓),✓,58.02 ± 1.21 / 70.73 ± 1.16@@58.02,71.32 ± 2.01 / 56.33 ± 2.95@@71.32,70.29 ± 1.04 / 57.53 ± 3.36@@70.29,55.04 ± 1.68 / 77.37 ± 0.86@@55.04,39.24 ± 1.70 / 69.16 ± 1.16@@39.24,39.24 ± 2.39 / 0.00 ± 0.00@@39.24,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/AI-Sweden-Models/ModernBERT-large'>AI-Sweden-Models/ModernBERT-large</a>,🔍,2.08@@2.08,394781696.0,50368.0,8192.0,✓,✗,(✓),✗,36.59 ± 4.14 / 52.10 ± 4.77@@36.59,61.10 ± 5.50 / 64.24 ± 4.54@@61.10,60.73 ± 5.10 / 63.73 ± 4.64@@60.73,64.31 ± 3.71 / 81.52 ± 2.26@@64.31,50.40 ± 5.86 / 74.46 ± 3.30@@50.40,66.74 ± 2.01 / 47.51 ± 2.58@@66.74,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200
"<a href='https://docs.x.ai/docs/models'>xai/grok-2-1212 (zero-shot, val)</a>",📝,2.08@@2.08,?,?,131072.0,✓,✗,✗,✓,41.46 ± 2.01 / 41.24 ± 1.57@@41.46,69.26 ± 1.90 / 60.05 ± 2.21@@69.26,67.05 ± 3.68 / 56.45 ± 3.73@@67.05,54.60 ± 2.76 / 74.00 ± 1.56@@54.60,24.92 ± 3.51 / 51.17 ± 1.74@@24.92,72.65 ± 1.02 / 39.39 ± 1.28@@72.65,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,2.10@@2.10,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,49.83 ± 3.05 / 61.60 ± 3.86@@49.83,71.89 ± 1.90 / 67.01 ± 2.68@@71.89,71.20 ± 1.28 / 66.71 ± 1.75@@71.20,62.43 ± 0.57 / 79.21 ± 0.58@@62.43,50.85 ± 3.86 / 72.72 ± 3.42@@50.85,35.22 ± 2.92 / 0.00 ± 0.00@@35.22,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b</a>,📝,2.11@@2.11,32296476672.0,256000.0,8192.0,✗,✗,(✓),✗,56.06 ± 1.87 / 68.98 ± 1.86@@56.06,63.32 ± 1.67 / 46.03 ± 3.72@@63.32,67.06 ± 1.19 / 51.43 ± 3.07@@67.06,30.32 ± 2.38 / 62.53 ± 2.03@@30.32,19.93 ± 1.11 / 57.89 ± 1.45@@19.93,68.48 ± 1.97 / 38.59 ± 1.81@@68.48,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401
<a href='https://hf.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501</a>,📝,2.11@@2.11,23572403200.0,131072.0,32768.0,✓,✗,(✓),✓,37.19 ± 0.89 / 37.45 ± 0.80@@37.19,69.51 ± 1.70 / 50.59 ± 2.26@@69.51,71.76 ± 1.31 / 54.47 ± 2.87@@71.76,48.12 ± 1.81 / 71.25 ± 1.81@@48.12,31.37 ± 1.97 / 57.85 ± 2.59@@31.37,70.87 ± 2.60 / 41.95 ± 3.06@@70.87,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B</a>,🤔,2.12@@2.12,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,52.54 ± 0.95 / 67.87 ± 0.68@@52.54,64.55 ± 2.06 / 50.72 ± 3.44@@64.55,63.43 ± 1.35 / 49.52 ± 3.24@@63.43,44.33 ± 1.96 / 71.86 ± 1.10@@44.33,25.35 ± 0.87 / 62.26 ± 0.32@@25.35,63.47 ± 0.76 / 37.07 ± 0.81@@63.47,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.12@@2.12,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,50.64 ± 1.23 / 66.47 ± 0.91@@50.64,64.74 ± 1.10 / 48.18 ± 2.00@@64.74,63.66 ± 0.83 / 48.09 ± 2.55@@63.66,42.18 ± 1.15 / 70.92 ± 0.51@@42.18,28.52 ± 1.00 / 63.72 ± 0.68@@28.52,65.07 ± 1.96 / 37.90 ± 1.71@@65.07,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.12@@2.12,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,43.90 ± 3.46 / 61.48 ± 2.84@@43.90,76.23 ± 1.00 / 62.86 ± 3.02@@76.23,72.85 ± 1.21 / 58.35 ± 2.75@@72.85,45.22 ± 1.70 / 68.97 ± 1.04@@45.22,24.34 ± 2.31 / 52.58 ± 1.68@@24.34,62.81 ± 0.70 / 32.54 ± 1.16@@62.81,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.13@@2.13,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,49.81 ± 1.21 / 62.15 ± 1.16@@49.81,56.19 ± 1.27 / 48.65 ± 1.11@@56.19,62.68 ± 1.64 / 56.78 ± 1.67@@62.68,39.47 ± 3.45 / 67.45 ± 2.23@@39.47,27.48 ± 3.65 / 54.82 ± 3.22@@27.48,71.96 ± 2.97 / 49.61 ± 3.65@@71.96,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,2.13@@2.13,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,55.18 ± 2.07 / 68.97 ± 1.38@@55.18,77.67 ± 0.95 / 71.99 ± 1.47@@77.67,77.37 ± 2.11 / 71.88 ± 1.68@@77.37,17.39 ± 1.91 / 43.64 ± 1.71@@17.39,7.44 ± 1.68 / 35.98 ± 0.94@@7.44,66.89 ± 0.89 / 39.13 ± 0.98@@66.89,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.13@@2.13,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,51.14 ± 0.89 / 66.08 ± 0.83@@51.14,68.08 ± 1.08 / 56.79 ± 1.60@@68.08,64.87 ± 1.37 / 56.63 ± 3.04@@64.87,35.50 ± 1.11 / 64.63 ± 1.29@@35.50,20.12 ± 1.89 / 57.08 ± 1.66@@20.12,69.84 ± 2.58 / 41.76 ± 2.94@@69.84,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 (val)</a>,🧠,2.14@@2.14,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,58.89 ± 1.47 / 71.96 ± 0.79@@58.89,51.26 ± 1.22 / 42.07 ± 1.88@@51.26,59.40 ± 1.97 / 44.35 ± 1.96@@59.40,31.97 ± 3.07 / 61.74 ± 2.38@@31.97,19.57 ± 2.33 / 53.89 ± 1.74@@19.57,73.70 ± 1.97 / 46.50 ± 2.79@@73.70,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.14@@2.14,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,52.11 ± 0.93 / 67.45 ± 0.57@@52.11,65.82 ± 2.49 / 58.24 ± 2.33@@65.82,60.20 ± 2.38 / 52.26 ± 2.24@@60.20,46.08 ± 1.91 / 73.02 ± 0.95@@46.08,26.53 ± 2.19 / 63.17 ± 1.09@@26.53,61.59 ± 0.57 / 36.48 ± 0.72@@61.59,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,2.14@@2.14,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,50.35 ± 1.84 / 66.89 ± 1.35@@50.35,64.97 ± 1.41 / 52.12 ± 3.70@@64.97,60.72 ± 1.20 / 49.75 ± 2.54@@60.72,42.34 ± 1.55 / 70.96 ± 0.83@@42.34,19.23 ± 0.85 / 57.88 ± 1.33@@19.23,71.78 ± 1.28 / 43.10 ± 1.26@@71.78,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000
<a href='https://hf.co/google/gemma-4-31B'>google/gemma-4-31B (val)</a>,🧠,2.16@@2.16,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,46.80 ± 1.76 / 62.47 ± 1.35@@46.80,67.91 ± 1.42 / 58.57 ± 1.55@@67.91,66.80 ± 1.16 / 56.31 ± 1.79@@66.80,34.21 ± 3.24 / 66.60 ± 1.70@@34.21,27.72 ± 3.10 / 63.39 ± 1.57@@27.72,66.25 ± 2.55 / 41.61 ± 2.61@@66.25,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512</a>,🧠,2.16@@2.16,4251743232.0,131072.0,8192.0,✓,✗,(✓),✓,47.69 ± 2.47 / 61.74 ± 2.62@@47.69,62.03 ± 1.46 / 53.17 ± 2.67@@62.03,60.60 ± 2.38 / 54.71 ± 2.86@@60.60,42.06 ± 3.00 / 68.88 ± 2.44@@42.06,24.75 ± 2.81 / 53.37 ± 5.13@@24.75,70.85 ± 5.11 / 47.06 ± 6.43@@70.85,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200
<a href='https://hf.co/CohereForAI/aya-23-35B'>CohereForAI/aya-23-35B</a>,📝,2.19@@2.19,34980831232.0,256000.0,8192.0,✗,✗,(✓),✗,51.63 ± 1.18 / 67.32 ± 0.86@@51.63,70.50 ± 1.89 / 57.49 ± 3.11@@70.50,65.31 ± 0.91 / 56.95 ± 1.95@@65.31,22.02 ± 2.51 / 56.53 ± 2.98@@22.02,14.95 ± 1.93 / 55.44 ± 2.13@@14.95,69.35 ± 2.03 / 43.73 ± 2.10@@69.35,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/DGurgurov/xlm-r_dan-latn'>DGurgurov/xlm-r_dan-latn</a>,🔍,2.19@@2.19,278295186.0,250002.0,512.0,✓,✗,(✓),✗,43.31 ± 3.26 / 53.40 ± 5.28@@43.31,87.70 ± 0.87 / 87.75 ± 0.80@@87.70,80.25 ± 1.32 / 82.14 ± 1.09@@80.25,44.39 ± 5.87 / 68.61 ± 4.30@@44.39,13.73 ± 4.00 / 50.57 ± 5.13@@13.73,48.38 ± 2.65 / 34.39 ± 2.23@@48.38,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,2.20@@2.20,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,52.71 ± 0.94 / 67.13 ± 0.68@@52.71,57.51 ± 1.63 / 38.20 ± 3.24@@57.51,55.76 ± 1.86 / 40.01 ± 2.88@@55.76,38.85 ± 1.22 / 67.42 ± 1.13@@38.85,25.81 ± 1.21 / 58.80 ± 1.40@@25.81,68.91 ± 1.23 / 40.61 ± 1.27@@68.91,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B'>deepseek-ai/DeepSeek-R1-0528-Qwen3-8B</a>,🤔,2.21@@2.21,8190735360.0,151936.0,131072.0,✓,✗,(✓),✓,42.47 ± 3.05 / 60.85 ± 2.23@@42.47,73.66 ± 1.82 / 62.22 ± 2.13@@73.66,72.03 ± 0.96 / 61.56 ± 2.30@@72.03,36.23 ± 3.77 / 66.02 ± 3.06@@36.23,18.48 ± 2.26 / 52.25 ± 2.35@@18.48,63.59 ± 0.84 / 37.17 ± 1.45@@63.59,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
<a href='https://hf.co/google/gemma-3n-E4B'>google/gemma-3n-E4B</a>,🧠,2.21@@2.21,7849978192.0,262400.0,?,✓,✗,(✓),✓,53.57 ± 2.35 / 68.34 ± 2.24@@53.57,51.96 ± 1.42 / 47.13 ± 1.80@@51.96,56.20 ± 1.79 / 52.51 ± 2.43@@56.20,33.25 ± 5.91 / 63.11 ± 6.38@@33.25,20.38 ± 4.47 / 52.47 ± 6.43@@20.38,74.34 ± 4.27 / 51.94 ± 5.89@@74.34,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot)</a>,📝,2.22@@2.22,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,47.47 ± 0.93 / 62.48 ± 0.62@@47.47,53.92 ± 0.73 / 35.68 ± 0.62@@53.92,50.20 ± 0.73 / 33.76 ± 0.67@@50.20,47.62 ± 1.33 / 68.82 ± 0.91@@47.62,37.90 ± 1.69 / 65.50 ± 1.00@@37.90,66.34 ± 0.39 / 34.26 ± 0.70@@66.34,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://ollama.com/library/hf.co'>ollama_chat/hf.co/google/gemma-3-4b-it-qat-q4_0-gguf</a>,📝,2.23@@2.23,3880099328.0,?,131072.0,✓,✗,✗,✓,50.45 ± 1.36 / 65.99 ± 0.97@@50.45,64.04 ± 1.91 / 52.92 ± 3.77@@64.04,64.07 ± 1.49 / 51.19 ± 2.62@@64.07,30.87 ± 2.51 / 58.65 ± 2.41@@30.87,24.92 ± 2.53 / 56.86 ± 2.61@@24.92,60.77 ± 1.61 / 28.84 ± 2.34@@60.77,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,2.24@@2.24,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,50.13 ± 1.61 / 66.88 ± 0.96@@50.13,50.95 ± 1.94 / 29.29 ± 1.11@@50.95,53.47 ± 0.97 / 31.06 ± 1.86@@53.47,42.63 ± 1.78 / 69.44 ± 1.53@@42.63,29.17 ± 2.64 / 61.37 ± 2.45@@29.17,68.40 ± 1.78 / 42.03 ± 2.30@@68.40,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (val)</a>,📝,2.24@@2.24,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,49.02 ± 1.75 / 65.15 ± 1.04@@49.02,61.61 ± 1.54 / 53.24 ± 2.15@@61.61,62.88 ± 1.30 / 54.43 ± 1.87@@62.88,39.72 ± 1.44 / 69.29 ± 0.71@@39.72,21.54 ± 1.95 / 60.20 ± 1.02@@21.54,62.29 ± 1.17 / 30.61 ± 1.13@@62.29,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,2.25@@2.25,22637328384.0,128000.0,4096.0,✓,✗,(✓),✓,50.89 ± 0.76 / 66.98 ± 0.62@@50.89,57.98 ± 1.60 / 39.81 ± 1.92@@57.98,59.55 ± 1.41 / 40.20 ± 2.60@@59.55,31.81 ± 4.69 / 53.12 ± 4.35@@31.81,23.83 ± 6.15 / 50.66 ± 6.63@@23.83,66.40 ± 1.57 / 37.96 ± 1.52@@66.40,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,2.25@@2.25,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,50.33 ± 2.02 / 65.63 ± 1.49@@50.33,69.53 ± 1.00 / 47.86 ± 1.51@@69.53,66.09 ± 0.52 / 43.91 ± 1.90@@66.09,26.09 ± 1.47 / 59.29 ± 1.37@@26.09,12.19 ± 2.58 / 51.34 ± 1.07@@12.19,64.98 ± 1.82 / 38.07 ± 2.14@@64.98,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://ollama.com/library/gemma3:4b-it-q4_K_M'>ollama_chat/gemma3:4b-it-q4_K_M</a>,📝,2.26@@2.26,?,?,?,✓,✗,✗,✓,52.92 ± 1.19 / 67.63 ± 0.84@@52.92,63.83 ± 1.40 / 52.91 ± 3.22@@63.83,62.08 ± 1.37 / 48.56 ± 3.19@@62.08,28.77 ± 2.32 / 63.40 ± 1.76@@28.77,23.06 ± 1.20 / 60.80 ± 0.87@@23.06,60.09 ± 1.40 / 26.40 ± 1.97@@60.09,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,2.28@@2.28,140642306.0,256000.0,8192.0,✓,✗,(✓),✓,33.29 ± 1.88 / 51.99 ± 2.07@@33.29,80.95 ± 1.44 / 81.26 ± 1.62@@80.95,75.78 ± 1.82 / 77.26 ± 1.84@@75.78,44.40 ± 7.60 / 71.28 ± 4.36@@44.40,36.76 ± 5.39 / 67.66 ± 2.72@@36.76,46.79 ± 2.55 / 29.35 ± 2.54@@46.79,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
<a href='https://hf.co/NbAiLab/nb-bert-ncc-male2female'>NbAiLab/nb-bert-ncc-male2female</a>,🔍,2.28@@2.28,177975035.0,119547.0,512.0,✓,✗,(✓),✗,48.33 ± 3.23 / 58.35 ± 5.61@@48.33,87.00 ± 0.90 / 88.36 ± 0.76@@87.00,83.82 ± 1.30 / 85.15 ± 1.00@@83.82,56.31 ± 13.41 / 75.78 ± 6.52@@56.31,59.20 ± 1.62 / 77.45 ± 1.04@@59.20,0.44 ± 0.39 / 0.10 ± 0.10@@0.44,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://hf.co/norallm/normistral-11b-warm'>norallm/normistral-11b-warm</a>,🧠,2.28@@2.28,11429893120.0,51200.0,1024000.0,✓,✗,(✓),✗,48.61 ± 2.54 / 65.12 ± 2.50@@48.61,61.37 ± 1.24 / 57.90 ± 1.46@@61.37,60.37 ± 1.66 / 56.91 ± 2.36@@60.37,17.80 ± 3.84 / 53.63 ± 4.61@@17.80,17.77 ± 2.49 / 56.01 ± 2.54@@17.77,74.22 ± 3.26 / 52.37 ± 4.85@@74.22,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.29@@2.29,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,50.72 ± 1.11 / 66.38 ± 1.00@@50.72,64.29 ± 1.23 / 59.05 ± 1.94@@64.29,63.91 ± 1.82 / 58.88 ± 2.62@@63.91,21.01 ± 1.73 / 44.89 ± 1.72@@21.01,11.27 ± 1.26 / 38.38 ± 1.18@@11.27,70.41 ± 3.55 / 45.52 ± 4.76@@70.41,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.29@@2.29,?,?,?,✓,✗,(✓),✓,48.50 ± 1.07 / 65.46 ± 0.67@@48.50,52.65 ± 2.12 / 32.44 ± 1.33@@52.65,52.06 ± 1.48 / 33.38 ± 2.66@@52.06,36.28 ± 3.41 / 64.70 ± 3.27@@36.28,24.56 ± 3.39 / 57.32 ± 4.45@@24.56,68.35 ± 0.86 / 37.00 ± 1.51@@68.35,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,2.30@@2.30,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,20.06 ± 2.73 / 43.67 ± 0.79@@20.06,68.69 ± 0.90 / 62.07 ± 1.83@@68.69,71.49 ± 1.38 / 61.39 ± 1.34@@71.49,42.31 ± 5.06 / 68.29 ± 3.74@@42.31,35.66 ± 1.39 / 64.66 ± 1.79@@35.66,73.11 ± 2.03 / 49.98 ± 3.18@@73.11,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2</a>,🤔,2.30@@2.30,8888227328.0,131072.0,131072.0,✓,✗,✗,✓,48.76 ± 0.92 / 64.12 ± 0.67@@48.76,65.48 ± 1.34 / 48.69 ± 1.25@@65.48,61.08 ± 1.09 / 46.70 ± 2.30@@61.08,36.34 ± 1.26 / 68.04 ± 0.61@@36.34,13.77 ± 2.59 / 53.63 ± 1.62@@13.77,61.98 ± 0.71 / 35.20 ± 0.76@@61.98,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,2.32@@2.32,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,51.73 ± 4.21 / 67.80 ± 4.01@@51.73,63.39 ± 1.50 / 53.49 ± 1.86@@63.39,65.80 ± 1.26 / 55.52 ± 1.93@@65.80,9.39 ± 3.38 / 35.95 ± 1.88@@9.39,2.86 ± 1.98 / 33.72 ± 0.51@@2.86,74.61 ± 5.22 / 52.01 ± 7.18@@74.61,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,2.33@@2.33,?,?,?,✓,✗,(✓),✓,49.62 ± 1.04 / 66.04 ± 0.74@@49.62,50.78 ± 1.62 / 34.60 ± 1.72@@50.78,51.37 ± 1.67 / 34.96 ± 1.68@@51.37,40.82 ± 3.73 / 68.20 ± 3.46@@40.82,31.02 ± 2.10 / 61.47 ± 3.07@@31.02,61.64 ± 0.78 / 32.68 ± 0.88@@61.64,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700
