<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,
danish-foundation-models/munin-7b-core-pt-3,🧠,2.99@@2.99,N/A,7002656768.0,64256.0,16384.0,✗,✗,35.39 ± 2.41 / 50.63 ± 3.25@@35.39,31.19 ± 2.37 / 21.24 ± 2.06@@31.19,0.00 ± 0.00 / 33.49 ± 0.27@@0.00,69.63 ± 1.21 / 55.53 ± 1.08@@69.63,63.93 ± 0.84 / 16.57 ± 1.14@@63.93,22.37 ± 1.29 / 40.15 ± 1.36@@22.37,30.44 ± 2.44 / 49.14 ± 2.05@@30.44,7.88 ± 0.99 / 30.31 ± 0.84@@7.88,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,3.01@@3.01,0.37,7298011136.0,100278.0,65536.0,✗,✗,34.47 ± 2.90 / 52.62 ± 3.16@@34.47,39.33 ± 3.19 / 28.83 ± 2.46@@39.33,14.03 ± 2.09 / 54.93 ± 1.80@@14.03,54.84 ± 3.63 / 37.19 ± 4.46@@54.84,60.86 ± 1.35 / 15.16 ± 0.83@@60.86,10.58 ± 1.27 / 32.18 ± 1.05@@10.58,17.96 ± 2.69 / 43.60 ± 1.69@@17.96,6.09 ± 1.45 / 29.42 ± 1.10@@6.09,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking</a>,📝,3.03@@3.03,1.89,3075098624.0,128256.0,65536.0,✓,✗,31.63 ± 2.87 / 47.70 ± 3.25@@31.63,41.52 ± 1.71 / 34.45 ± 2.10@@41.52,14.32 ± 1.49 / 56.63 ± 0.85@@14.32,25.47 ± 0.74 / 1.03 ± 0.18@@25.47,63.15 ± 0.12 / 12.49 ± 0.16@@63.15,9.15 ± 0.94 / 31.47 ± 0.80@@9.15,34.99 ± 3.46 / 56.80 ± 2.19@@34.99,16.58 ± 1.70 / 37.11 ± 1.27@@16.58,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
danish-foundation-models/munin-7b-core-pt-2,🧠,3.04@@3.04,N/A,7002656768.0,64256.0,16384.0,✗,✗,30.83 ± 3.46 / 43.76 ± 4.04@@30.83,35.09 ± 2.04 / 24.42 ± 1.60@@35.09,0.00 ± 0.00 / 33.49 ± 0.27@@0.00,69.35 ± 0.88 / 55.66 ± 0.85@@69.35,62.61 ± 1.32 / 15.32 ± 1.63@@62.61,20.74 ± 2.02 / 39.68 ± 1.56@@20.74,29.96 ± 2.26 / 48.78 ± 1.75@@29.96,4.22 ± 0.68 / 27.64 ± 0.61@@4.22,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview</a>,📝,3.04@@3.04,0.07,6120003328.0,200192.0,131072.0,✓,✗,21.09 ± 4.03 / 33.57 ± 4.69@@21.09,47.92 ± 1.51 / 40.26 ± 1.90@@47.92,0.66 ± 1.15 / 33.45 ± 0.29@@0.66,55.24 ± 4.23 / 38.16 ± 3.80@@55.24,62.32 ± 0.18 / 9.90 ± 0.90@@62.32,25.11 ± 2.55 / 42.38 ± 2.06@@25.11,30.29 ± 3.37 / 47.83 ± 4.03@@30.29,11.12 ± 2.26 / 32.60 ± 1.93@@11.12,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/arcee-ai/AFM-4.5B'>arcee-ai/AFM-4.5B</a>,📝,3.11@@3.11,14.46,4619189760.0,128005.0,65536.0,✓,✗,42.50 ± 1.57 / 61.63 ± 1.33@@42.50,32.18 ± 1.11 / 24.87 ± 1.43@@32.18,14.25 ± 1.91 / 52.85 ± 3.14@@14.25,18.03 ± 0.62 / 0.04 ± 0.05@@18.03,60.36 ± 0.18 / 9.77 ± 0.14@@60.36,21.14 ± 1.93 / 39.54 ± 1.70@@21.14,40.34 ± 3.27 / 60.11 ± 2.02@@40.34,10.38 ± 1.41 / 31.15 ± 1.08@@10.38,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.13@@3.13,0.15,7768117248.0,256000.0,8192.0,✓,✗,38.49 ± 2.55 / 56.78 ± 2.22@@38.49,32.21 ± 2.23 / 23.70 ± 1.72@@32.21,13.22 ± 2.09 / 55.04 ± 1.22@@13.22,18.26 ± 0.41 / 0.00 ± 0.00@@18.26,59.28 ± 0.13 / 6.36 ± 0.07@@59.28,16.71 ± 1.76 / 35.87 ± 1.11@@16.71,57.28 ± 2.69 / 71.39 ± 1.83@@57.28,9.53 ± 1.32 / 31.98 ± 0.98@@9.53,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
danish-foundation-models/munin-7b-core-pt,🧠,3.15@@3.15,N/A,7002656768.0,64256.0,16384.0,✗,✗,20.29 ± 4.16 / 29.35 ± 3.76@@20.29,38.78 ± 1.76 / 26.69 ± 2.42@@38.78,0.00 ± 0.00 / 33.49 ± 0.27@@0.00,65.95 ± 1.14 / 52.36 ± 1.06@@65.95,61.69 ± 1.14 / 13.88 ± 1.27@@61.69,14.73 ± 1.06 / 35.27 ± 1.00@@14.73,25.66 ± 2.60 / 44.34 ± 2.38@@25.66,4.82 ± 0.90 / 27.65 ± 0.83@@4.82,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.25@@3.25,10.32,2424375168.0,99000.0,28723.0,✗,✗,34.34 ± 1.81 / 50.34 ± 2.82@@34.34,29.67 ± 2.27 / 21.58 ± 1.18@@29.67,7.37 ± 1.27 / 46.43 ± 2.38@@7.37,46.86 ± 3.19 / 29.34 ± 4.00@@46.86,60.06 ± 0.38 / 10.74 ± 0.30@@60.06,-0.12 ± 2.57 / 25.06 ± 1.79@@-0.12,10.58 ± 3.90 / 41.12 ± 2.57@@10.58,2.61 ± 1.02 / 25.94 ± 0.54@@2.61,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.3.0.dev0@@160300,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.26@@3.26,N/A,7768117248.0,256000.0,8192.0,✓,✗,5.14 ± 2.74 / 18.92 ± 1.00@@5.14,19.72 ± 1.30 / 19.19 ± 0.99@@19.72,15.51 ± 3.58 / 41.53 ± 3.15@@15.51,66.36 ± 1.88 / 49.44 ± 2.21@@66.36,64.51 ± 0.51 / 15.51 ± 0.88@@64.51,10.31 ± 2.38 / 25.63 ± 1.82@@10.31,49.04 ± 2.30 / 63.50 ± 2.15@@49.04,2.13 ± 0.84 / 25.99 ± 0.69@@2.13,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b'>AI-Sweden-Models/gpt-sw3-6.7b</a>,🧠,3.26@@3.26,N/A,7111057408.0,64000.0,2048.0,✓,✗,22.71 ± 5.21 / 35.11 ± 6.59@@22.71,18.23 ± 5.87 / 14.77 ± 3.36@@18.23,5.03 ± 2.51 / 49.00 ± 2.64@@5.03,67.20 ± 1.44 / 52.02 ± 1.55@@67.20,64.58 ± 1.03 / 18.26 ± 1.00@@64.58,-0.66 ± 2.12 / 24.08 ± 1.23@@-0.66,13.10 ± 3.79 / 39.16 ± 2.64@@13.10,1.70 ± 0.84 / 26.17 ± 0.62@@1.70,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,16.3.0.dev0@@160300,12.6.1@@120601,14.2.0@@140200,15.2.0.dev0@@150200,11.0.0@@110000
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-40b'>AI-Sweden-Models/gpt-sw3-40b</a>,🧠,3.27@@3.27,N/A,39926513664.0,64000.0,2048.0,✓,✗,4.44 ± 2.16 / 18.71 ± 0.85@@4.44,26.57 ± 5.22 / 17.35 ± 2.79@@26.57,3.72 ± 2.00 / 36.11 ± 1.44@@3.72,73.22 ± 1.06 / 58.78 ± 1.11@@73.22,66.21 ± 1.17 / 21.48 ± 1.27@@66.21,8.75 ± 1.20 / 28.35 ± 1.22@@8.75,18.39 ± 3.88 / 44.74 ± 2.94@@18.39,2.15 ± 0.90 / 26.25 ± 0.42@@2.15,16.5.0.dev0@@160500,12.9.0@@120900,16.5.0.dev0@@160500,16.3.0.dev0@@160300,12.9.0@@120900,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
danish-foundation-models/munin-7b-open-pt,🧠,3.28@@3.28,N/A,7002656768.0,64256.0,16384.0,✗,✗,18.55 ± 6.91 / 28.38 ± 5.29@@18.55,37.73 ± 1.73 / 25.88 ± 2.68@@37.73,0.00 ± 0.00 / 33.49 ± 0.27@@0.00,51.84 ± 1.92 / 36.51 ± 2.05@@51.84,60.11 ± 1.21 / 13.10 ± 0.92@@60.11,14.04 ± 2.51 / 35.06 ± 1.86@@14.04,24.75 ± 3.07 / 45.09 ± 2.44@@24.75,4.50 ± 1.12 / 27.44 ± 0.80@@4.50,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.28@@3.28,14.11,999885952.0,262144.0,32768.0,✓,✗,41.86 ± 1.79 / 58.57 ± 3.35@@41.86,29.68 ± 2.57 / 24.61 ± 1.65@@29.68,7.78 ± 2.81 / 46.11 ± 5.85@@7.78,17.01 ± 0.63 / 0.00 ± 0.00@@17.01,60.67 ± 0.99 / 12.14 ± 1.13@@60.67,1.40 ± 1.51 / 22.76 ± 1.37@@1.40,15.95 ± 2.87 / 43.98 ± 2.34@@15.95,5.09 ± 1.48 / 27.47 ± 0.98@@5.09,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
danish-foundation-models/munin-7b-open-it,📝,3.31@@3.31,?,7002656768.0,64256.0,16384.0,✗,✗,-0.47 ± 2.50 / 22.23 ± 1.57@@-0.47,44.46 ± 2.28 / 31.02 ± 2.12@@44.46,0.00 ± 0.00 / 33.49 ± 0.27@@0.00,47.83 ± 1.73 / 0.00 ± 0.00@@47.83,64.28 ± 0.08 / 16.62 ± 0.22@@64.28,16.74 ± 4.39 / 34.23 ± 3.98@@16.74,14.10 ± 3.76 / 34.13 ± 2.34@@14.10,12.72 ± 1.60 / 32.99 ± 1.12@@12.72,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-20b'>AI-Sweden-Models/gpt-sw3-20b</a>,🧠,3.37@@3.37,N/A,20918423552.0,64000.0,2048.0,✓,✗,0.00 ± 0.00 / 17.78 ± 0.21@@0.00,27.71 ± 2.95 / 18.26 ± 1.89@@27.71,8.38 ± 3.75 / 47.57 ± 5.26@@8.38,72.47 ± 1.60 / 57.48 ± 1.52@@72.47,62.34 ± 1.93 / 15.29 ± 1.62@@62.34,-0.06 ± 1.34 / 25.20 ± 0.98@@-0.06,19.87 ± 2.60 / 43.30 ± 1.33@@19.87,2.16 ± 0.89 / 26.67 ± 0.51@@2.16,16.5.0.dev0@@160500,14.3.0@@140300,16.5.0.dev0@@160500,16.3.0.dev0@@160300,14.3.0@@140300,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.40@@3.40,0.7,751632384.0,151936.0,40960.0,✓,✗,19.83 ± 3.85 / 40.91 ± 6.38@@19.83,27.84 ± 1.86 / 18.68 ± 1.35@@27.84,1.86 ± 2.27 / 38.75 ± 3.69@@1.86,46.67 ± 1.44 / 30.64 ± 1.51@@46.67,62.20 ± 0.26 / 12.16 ± 0.38@@62.20,5.63 ± 1.45 / 27.52 ± 1.20@@5.63,0.95 ± 2.05 / 35.66 ± 1.02@@0.95,1.91 ± 1.45 / 26.17 ± 0.84@@1.91,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b-v2'>AI-Sweden-Models/gpt-sw3-6.7b-v2</a>,🧠,3.43@@3.43,N/A,7111057408.0,64000.0,2048.0,✓,✗,0.00 ± 0.00 / 17.78 ± 0.21@@0.00,20.84 ± 2.40 / 16.93 ± 1.98@@20.84,0.22 ± 0.73 / 33.65 ± 0.48@@0.22,72.38 ± 0.82 / 57.47 ± 0.89@@72.38,65.15 ± 1.16 / 18.96 ± 1.15@@65.15,3.68 ± 2.28 / 24.89 ± 1.52@@3.68,15.59 ± 3.52 / 43.56 ± 2.48@@15.59,1.97 ± 1.17 / 26.29 ± 0.61@@1.97,16.5.0.dev0@@160500,9.2.0@@90200,16.5.0.dev0@@160500,16.3.0.dev0@@160300,12.6.1@@120601,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.43@@3.43,N/A,999885952.0,262144.0,32768.0,✓,✗,36.73 ± 2.62 / 43.98 ± 2.64@@36.73,16.31 ± 1.84 / 14.59 ± 1.52@@16.31,-0.40 ± 1.16 / 42.52 ± 5.03@@-0.40,56.45 ± 1.06 / 42.20 ± 1.19@@56.45,56.22 ± 1.86 / 10.78 ± 1.49@@56.22,1.30 ± 1.50 / 22.85 ± 1.20@@1.30,6.17 ± 2.09 / 37.68 ± 1.36@@6.17,-1.12 ± 0.88 / 25.36 ± 0.66@@-1.12,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.44@@3.44,N/A,1195468800.0,65536.0,2048.0,✓,✗,28.13 ± 3.00 / 44.84 ± 4.08@@28.13,26.40 ± 2.32 / 21.95 ± 1.96@@26.40,0.53 ± 1.20 / 33.87 ± 0.64@@0.53,35.23 ± 1.20 / 22.39 ± 1.69@@35.23,60.34 ± 0.84 / 12.93 ± 0.98@@60.34,-0.15 ± 1.76 / 23.95 ± 1.46@@-0.15,8.80 ± 3.70 / 39.56 ± 2.30@@8.80,0.22 ± 0.97 / 25.38 ± 0.48@@0.22,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.45@@3.45,N/A,1235814400.0,128256.0,131072.0,✓,✗,28.02 ± 2.35 / 48.36 ± 1.37@@28.02,15.82 ± 1.49 / 13.52 ± 1.12@@15.82,1.94 ± 1.43 / 49.60 ± 0.98@@1.94,52.21 ± 2.07 / 37.62 ± 1.66@@52.21,59.93 ± 0.77 / 11.75 ± 0.79@@59.93,0.55 ± 1.36 / 25.69 ± 0.99@@0.55,3.26 ± 3.76 / 35.50 ± 2.50@@3.26,0.12 ± 1.04 / 25.13 ± 0.77@@0.12,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.51@@3.51,N/A,2611528704.0,128000.0,4096.0,✓,✗,16.48 ± 5.64 / 32.56 ± 5.83@@16.48,14.10 ± 2.91 / 12.48 ± 1.75@@14.10,3.07 ± 1.31 / 43.42 ± 2.14@@3.07,53.96 ± 0.96 / 39.25 ± 1.29@@53.96,61.96 ± 2.03 / 16.39 ± 1.75@@61.96,-0.77 ± 1.42 / 24.41 ± 1.06@@-0.77,2.77 ± 3.02 / 36.90 ± 1.93@@2.77,-0.62 ± 1.13 / 24.36 ± 0.57@@-0.62,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,16.3.0.dev0@@160300,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-1.3b-instruct'>AI-Sweden-Models/gpt-sw3-1.3b-instruct</a>,📝,3.52@@3.52,14.14,1444532224.0,64000.0,2048.0,✓,✗,27.14 ± 1.93 / 42.34 ± 2.51@@27.14,14.73 ± 1.84 / 14.44 ± 1.74@@14.73,2.65 ± 1.66 / 40.63 ± 4.02@@2.65,17.30 ± 0.52 / 0.06 ± 0.06@@17.30,65.48 ± 0.73 / 19.58 ± 1.08@@65.48,1.43 ± 1.23 / 24.99 ± 0.99@@1.43,1.89 ± 3.03 / 32.38 ± 1.55@@1.89,0.13 ± 0.25 / 25.04 ± 0.54@@0.13,9.3.1@@90301,12.5.2@@120502,12.1.0@@120100,16.3.0.dev0@@160300,12.6.1@@120601,14.2.0@@140200,15.2.0.dev0@@150200,12.1.0@@120100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct'>AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct</a>,📝,3.54@@3.54,14.14,7111057408.0,64000.0,2048.0,✓,✗,2.85 ± 1.54 / 18.05 ± 0.23@@2.85,15.35 ± 1.38 / 14.74 ± 1.30@@15.35,10.99 ± 2.52 / 54.07 ± 1.93@@10.99,24.66 ± 0.63 / 3.45 ± 0.74@@24.66,66.38 ± 1.07 / 21.48 ± 1.21@@66.38,5.03 ± 1.76 / 27.30 ± 1.34@@5.03,7.45 ± 2.94 / 38.27 ± 2.15@@7.45,11.08 ± 1.35 / 32.13 ± 1.04@@11.08,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,16.3.0.dev0@@160300,12.6.1@@120601,14.2.0@@140200,15.2.0.dev0@@150200,9.2.0@@90200
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.60@@3.60,14.14,2611528704.0,128000.0,4096.0,✓,✗,13.13 ± 5.21 / 29.15 ± 5.15@@13.13,10.82 ± 3.29 / 10.22 ± 1.09@@10.82,-0.48 ± 1.20 / 39.37 ± 3.46@@-0.48,49.14 ± 2.16 / 29.04 ± 2.28@@49.14,63.02 ± 0.18 / 12.29 ± 0.27@@63.02,0.87 ± 2.11 / 28.29 ± 0.58@@0.87,7.85 ± 4.36 / 35.47 ± 2.54@@7.85,-0.02 ± 0.76 / 24.76 ± 0.62@@-0.02,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,16.3.0.dev0@@160300,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,3.64@@3.64,N/A,3211926528.0,65536.0,4096.0,✓,✗,16.61 ± 4.20 / 33.08 ± 6.18@@16.61,16.32 ± 4.67 / 15.00 ± 2.99@@16.32,0.93 ± 1.74 / 41.14 ± 3.96@@0.93,38.72 ± 1.56 / 27.81 ± 1.01@@38.72,58.62 ± 2.05 / 11.44 ± 0.94@@58.62,2.03 ± 2.37 / 23.75 ± 1.76@@2.03,6.23 ± 2.80 / 37.50 ± 1.30@@6.23,-0.46 ± 0.97 / 25.32 ± 0.72@@-0.46,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-1.3b'>AI-Sweden-Models/gpt-sw3-1.3b</a>,🧠,3.69@@3.69,N/A,1444532224.0,64000.0,2048.0,✓,✗,0.76 ± 1.01 / 17.87 ± 0.17@@0.76,8.80 ± 5.54 / 8.63 ± 4.48@@8.80,0.31 ± 1.14 / 33.58 ± 0.35@@0.31,56.18 ± 1.07 / 42.73 ± 0.93@@56.18,62.17 ± 1.12 / 14.96 ± 1.16@@62.17,-1.07 ± 1.17 / 22.44 ± 1.39@@-1.07,4.48 ± 2.94 / 37.07 ± 1.56@@4.48,0.43 ± 0.95 / 25.52 ± 0.68@@0.43,16.5.0.dev0@@160500,9.3.1@@90301,16.5.0.dev0@@160500,16.3.0.dev0@@160300,12.6.1@@120601,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/arcee-ai/Trinity-Nano-Base'>arcee-ai/Trinity-Nano-Base</a>,📝,3.70@@3.70,14.14,6120003328.0,200192.0,131072.0,✓,✗,10.50 ± 4.93 / 26.33 ± 5.22@@10.50,35.46 ± 1.49 / 25.86 ± 2.37@@35.46,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,13.63 ± 2.08 / 0.00 ± 0.00@@13.63,56.63 ± 0.88 / 9.33 ± 0.41@@56.63,-0.54 ± 1.96 / 22.67 ± 0.97@@-0.54,6.31 ± 3.05 / 38.32 ± 1.91@@6.31,1.06 ± 0.82 / 25.93 ± 0.61@@1.06,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct</a>,📝,3.71@@3.71,0.02,1170340608.0,65536.0,128000.0,✗,✗,23.18 ± 2.82 / 42.25 ± 3.44@@23.18,20.56 ± 2.30 / 18.79 ± 1.96@@20.56,0.28 ± 0.90 / 38.56 ± 3.53@@0.28,11.28 ± 2.28 / 0.62 ± 0.74@@11.28,58.53 ± 0.35 / 10.92 ± 0.50@@58.53,0.87 ± 1.84 / 25.74 ± 1.28@@0.87,0.18 ± 3.50 / 32.17 ± 1.52@@0.18,-0.17 ± 1.15 / 24.63 ± 0.69@@-0.17,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,3.76@@3.76,5.09,742489344.0,65536.0,128000.0,✗,✗,12.56 ± 2.52 / 28.28 ± 3.69@@12.56,22.53 ± 1.69 / 18.94 ± 1.74@@22.53,0.01 ± 2.21 / 35.79 ± 2.43@@0.01,10.02 ± 0.64 / 1.18 ± 0.60@@10.02,59.65 ± 0.67 / 11.53 ± 0.82@@59.65,0.84 ± 1.38 / 25.48 ± 1.74@@0.84,2.46 ± 3.99 / 37.16 ± 1.88@@2.46,1.37 ± 1.52 / 26.11 ± 1.11@@1.37,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
