<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/danish-foundation-models/Meta-Llama-3.1-8B-laerebogen'>danish-foundation-models/Meta-Llama-3.1-8B-laerebogen</a>,📝,2.18@@2.18,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,50.89 ± 1.94 / 66.88 ± 1.58@@50.89,48.91 ± 2.07 / 37.71 ± 2.46@@48.91,26.65 ± 1.92 / 56.57 ± 3.17@@26.65,64.33 ± 1.47 / 45.87 ± 1.56@@64.33,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot, val)</a>",🤔,2.19@@2.19,?,?,400000.0,✓,✗,✗,✓,50.32 ± 0.95 / 65.01 ± 0.68@@50.32,45.50 ± 1.11 / 27.45 ± 0.97@@45.50,21.88 ± 2.15 / 60.69 ± 1.04@@21.88,74.23 ± 0.61 / 55.81 ± 0.81@@74.23,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,2.21@@2.21,561192082.0,250002.0,512.0,✓,✗,(✓),✓,39.45 ± 10.19 / 52.33 ± 10.33@@39.45,68.64 ± 1.99 / 64.15 ± 1.58@@68.64,42.03 ± 20.62 / 67.11 ± 13.34@@42.03,32.87 ± 1.66 / 25.71 ± 1.62@@32.87,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,2.21@@2.21,8053338176.0,131072.0,65536.0,✓,✗,(✓),✗,44.15 ± 2.57 / 52.99 ± 3.97@@44.15,39.98 ± 2.27 / 27.93 ± 2.05@@39.98,34.14 ± 2.72 / 66.16 ± 1.22@@34.14,74.67 ± 0.98 / 56.05 ± 1.50@@74.67,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,2.21@@2.21,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,18.78 ± 4.63 / 27.32 ± 3.94@@18.78,55.01 ± 2.16 / 37.09 ± 1.78@@55.01,44.32 ± 3.12 / 70.16 ± 3.04@@44.32,80.51 ± 1.28 / 65.62 ± 1.56@@80.51,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E'>meta-llama/Llama-4-Scout-17B-16E</a>,📝,2.22@@2.22,108641793536.0,200000.0,?,✓,✗,(✓),✓,51.96 ± 1.65 / 64.76 ± 2.86@@51.96,59.83 ± 2.09 / 48.25 ± 3.17@@59.83,38.97 ± 8.55 / 64.45 ± 7.48@@38.97,26.43 ± 2.34 / 0.64 ± 0.90@@26.43,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,16.3.0.dev0@@160300
<a href='https://hf.co/vesteinn/DanskBERT'>vesteinn/DanskBERT</a>,🔍,2.22@@2.22,124548012.0,50005.0,514.0,✓,✗,(✓),✓,48.06 ± 2.43 / 64.52 ± 2.34@@48.06,63.90 ± 2.11 / 60.14 ± 1.94@@63.90,48.68 ± 21.64 / 71.52 ± 13.08@@48.68,18.15 ± 2.30 / 12.49 ± 1.75@@18.15,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.25@@2.25,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,50.75 ± 1.78 / 63.97 ± 1.41@@50.75,42.86 ± 1.57 / 37.09 ± 1.20@@42.86,40.52 ± 3.48 / 65.46 ± 2.50@@40.52,46.99 ± 1.15 / 39.53 ± 1.03@@46.99,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,2.26@@2.26,?,?,?,✓,✗,(✓),✓,52.78 ± 1.94 / 68.62 ± 1.32@@52.78,42.37 ± 2.31 / 25.97 ± 1.13@@42.37,16.67 ± 5.42 / 43.28 ± 5.57@@16.67,72.14 ± 0.58 / 51.50 ± 1.01@@72.14,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700
<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct</a>,📝,2.28@@2.28,1720574976.0,151936.0,40960.0,✗,✗,(✓),✗,46.62 ± 1.56 / 63.09 ± 1.58@@46.62,37.46 ± 1.87 / 26.35 ± 1.24@@37.46,26.83 ± 1.21 / 63.02 ± 0.47@@26.83,74.17 ± 0.94 / 56.17 ± 1.37@@74.17,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,16.3.0.dev0@@160300
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct</a>,📝,2.28@@2.28,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,42.57 ± 2.53 / 62.29 ± 1.82@@42.57,51.14 ± 1.62 / 28.86 ± 1.58@@51.14,16.93 ± 2.51 / 42.21 ± 2.35@@16.93,70.56 ± 0.71 / 51.51 ± 0.52@@70.56,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/AI-Sweden-Models/ModernBERT-large'>AI-Sweden-Models/ModernBERT-large</a>,🔍,2.29@@2.29,394781696.0,50368.0,8192.0,✓,✗,(✓),✗,44.04 ± 3.21 / 61.77 ± 2.72@@44.04,37.38 ± 4.73 / 36.44 ± 4.65@@37.38,65.17 ± 3.16 / 82.00 ± 1.68@@65.17,34.40 ± 1.46 / 26.87 ± 1.61@@34.40,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,16.3.0.dev0@@160300
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,2.29@@2.29,307531778.0,256000.0,8192.0,✓,✗,(✓),✓,40.82 ± 2.25 / 59.48 ± 1.82@@40.82,54.79 ± 2.92 / 52.82 ± 2.61@@54.79,50.04 ± 6.75 / 74.66 ± 3.61@@50.04,31.87 ± 1.42 / 24.60 ± 1.70@@31.87,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.3.0.dev0@@160300
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.29@@2.29,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,47.70 ± 1.50 / 64.05 ± 1.22@@47.70,37.83 ± 1.04 / 30.15 ± 0.88@@37.83,23.88 ± 1.49 / 53.44 ± 2.34@@23.88,75.26 ± 0.63 / 58.37 ± 0.98@@75.26,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,2.29@@2.29,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,51.96 ± 1.50 / 67.74 ± 0.95@@51.96,58.99 ± 1.49 / 35.73 ± 3.14@@58.99,37.02 ± 2.96 / 64.81 ± 3.00@@37.02,26.32 ± 1.00 / 0.00 ± 0.00@@26.32,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000
<a href='https://hf.co/synquid/gemma-3-4b-pt-laerebogen-with-follow-ups-lora'>synquid/gemma-3-4b-pt-laerebogen-with-follow-ups-lora</a>,📝,2.30@@2.30,4300079472.0,262144.0,8192.0,✗,✗,(✓),✗,48.63 ± 0.95 / 63.81 ± 0.78@@48.63,39.42 ± 1.11 / 26.44 ± 1.36@@39.42,20.22 ± 0.71 / 46.37 ± 0.84@@20.22,73.88 ± 0.37 / 56.77 ± 0.38@@73.88,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.32@@2.32,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,38.22 ± 2.27 / 55.39 ± 2.47@@38.22,50.64 ± 2.13 / 40.77 ± 2.79@@50.64,20.66 ± 1.35 / 59.27 ± 1.26@@20.66,71.18 ± 1.44 / 54.44 ± 1.37@@71.18,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/synquid/gemma-3-4b-pt-laerebogen-with-follow-ups-lora'>synquid/gemma-3-4b-pt-laerebogen-with-follow-ups-lora (val)</a>,📝,2.32@@2.32,4300079472.0,262144.0,8192.0,✗,✗,(✓),✗,49.86 ± 0.76 / 64.76 ± 0.65@@49.86,37.92 ± 0.86 / 28.26 ± 1.11@@37.92,18.45 ± 2.28 / 44.68 ± 2.08@@18.45,72.14 ± 0.56 / 57.20 ± 0.85@@72.14,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,2.34@@2.34,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,44.34 ± 0.95 / 62.53 ± 1.06@@44.34,44.00 ± 1.90 / 26.18 ± 1.15@@44.00,15.73 ± 2.63 / 49.49 ± 4.62@@15.73,76.24 ± 1.55 / 60.60 ± 1.59@@76.24,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,2.35@@2.35,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,42.09 ± 2.64 / 58.64 ± 2.52@@42.09,40.53 ± 1.47 / 28.49 ± 1.35@@40.53,25.38 ± 5.45 / 59.09 ± 4.16@@25.38,72.81 ± 1.17 / 54.87 ± 1.84@@72.81,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,2.37@@2.37,7298011136.0,100278.0,65536.0,✓,✗,(✓),✓,44.25 ± 1.65 / 62.29 ± 1.91@@44.25,43.20 ± 1.97 / 23.87 ± 2.18@@43.20,14.53 ± 2.85 / 53.08 ± 3.96@@14.53,76.42 ± 0.83 / 62.41 ± 0.90@@76.42,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/danish-foundation-models/munin-7b-alpha'>danish-foundation-models/munin-7b-alpha</a>,🧠,2.37@@2.37,7241732096.0,32000.0,32768.0,✓,✗,✗,✓,37.24 ± 1.62 / 43.85 ± 0.90@@37.24,41.42 ± 1.88 / 28.12 ± 2.61@@41.42,25.13 ± 5.58 / 51.42 ± 6.65@@25.13,74.94 ± 1.49 / 60.05 ± 1.92@@74.94,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/NbAiLab/borealis-4b-instruct-preview'>NbAiLab/borealis-4b-instruct-preview (val)</a>,📝,2.37@@2.37,3880263168.0,262144.0,8192.0,✓,✗,(✓),✗,48.88 ± 2.32 / 60.12 ± 1.62@@48.88,52.29 ± 1.09 / 39.27 ± 1.99@@52.29,0.00 ± 0.00 / 33.74 ± 0.90@@0.00,72.56 ± 1.45 / 55.10 ± 2.04@@72.56,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,2.37@@2.37,40433885184.0,256000.0,32768.0,✓,✗,(✓),✓,26.92 ± 5.60 / 38.12 ± 6.77@@26.92,48.90 ± 2.52 / 39.14 ± 2.16@@48.90,28.95 ± 3.52 / 49.87 ± 3.39@@28.95,77.56 ± 0.75 / 61.87 ± 1.34@@77.56,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.38@@2.38,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,54.18 ± 1.89 / 69.63 ± 1.49@@54.18,53.89 ± 2.15 / 32.54 ± 2.02@@53.89,29.51 ± 0.88 / 52.27 ± 1.62@@29.51,27.08 ± 5.29 / 3.18 ± 1.99@@27.08,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.39@@2.39,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,16.05 ± 2.28 / 24.81 ± 1.76@@16.05,45.92 ± 1.98 / 30.49 ± 2.18@@45.92,39.82 ± 7.55 / 62.46 ± 7.54@@39.82,79.20 ± 1.14 / 64.30 ± 1.42@@79.20,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.40@@2.40,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,45.48 ± 1.30 / 62.05 ± 1.20@@45.48,36.63 ± 1.66 / 26.80 ± 1.49@@36.63,24.05 ± 1.81 / 60.80 ± 1.35@@24.05,69.09 ± 0.97 / 51.74 ± 1.14@@69.09,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,2.41@@2.41,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,6.93 ± 1.36 / 17.79 ± 0.53@@6.93,56.98 ± 1.29 / 44.14 ± 1.49@@56.98,38.50 ± 2.72 / 67.27 ± 1.99@@38.50,78.34 ± 0.70 / 64.31 ± 0.97@@78.34,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,2.42@@2.42,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,48.57 ± 1.98 / 64.59 ± 1.70@@48.57,47.26 ± 2.37 / 31.11 ± 1.64@@47.26,0.00 ± 0.00 / 32.87 ± 0.96@@0.00,73.58 ± 1.10 / 60.21 ± 1.32@@73.58,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/google/gemma-4-26B-A4B'>google/gemma-4-26B-A4B (val)</a>,🧠,2.43@@2.43,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,36.05 ± 2.19 / 56.33 ± 1.41@@36.05,32.78 ± 2.68 / 27.42 ± 2.21@@32.78,32.31 ± 3.04 / 65.18 ± 1.65@@32.31,72.23 ± 1.15 / 55.27 ± 1.23@@72.23,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/norallm/normistral-11b-thinking'>norallm/normistral-11b-thinking</a>,🤔,2.43@@2.43,11429893120.0,51200.0,1024000.0,✓,✗,(✓),✗,44.44 ± 1.44 / 58.00 ± 2.24@@44.44,56.34 ± 1.61 / 45.08 ± 1.98@@56.34,29.38 ± 1.93 / 59.79 ± 2.15@@29.38,29.94 ± 9.26 / 20.16 ± 6.55@@29.94,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,2.44@@2.44,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,47.89 ± 1.71 / 64.29 ± 1.35@@47.89,46.66 ± 2.46 / 30.60 ± 1.87@@46.66,0.00 ± 0.00 / 32.87 ± 0.96@@0.00,73.83 ± 1.19 / 60.42 ± 1.14@@73.83,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/CohereLabs/tiny-aya-base'>CohereLabs/tiny-aya-base (val)</a>,🧠,2.47@@2.47,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,48.09 ± 2.99 / 64.53 ± 2.19@@48.09,33.16 ± 4.81 / 28.05 ± 2.82@@33.16,9.38 ± 4.36 / 51.09 ± 3.40@@9.38,78.67 ± 0.99 / 66.30 ± 1.22@@78.67,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.47@@2.47,32233522176.0,100278.0,65536.0,✓,✗,(✓),✓,29.38 ± 1.17 / 38.96 ± 1.04@@29.38,54.25 ± 1.71 / 37.60 ± 2.80@@54.25,4.60 ± 1.90 / 33.95 ± 0.50@@4.60,83.76 ± 0.47 / 69.88 ± 0.92@@83.76,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct (zero-shot, val)</a>",📝,2.47@@2.47,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,49.97 ± 2.92 / 60.30 ± 2.05@@49.97,34.13 ± 0.98 / 25.49 ± 1.37@@34.13,7.80 ± 3.90 / 40.01 ± 1.18@@7.80,75.57 ± 1.03 / 60.91 ± 1.43@@75.57,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (val)</a>,📝,2.49@@2.49,2614341888.0,256000.0,8192.0,✗,✗,(✓),✗,49.21 ± 2.35 / 63.09 ± 2.15@@49.21,38.66 ± 2.45 / 26.03 ± 2.17@@38.66,11.16 ± 4.80 / 39.86 ± 2.34@@11.16,65.10 ± 0.88 / 49.51 ± 1.41@@65.10,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
"<a href='https://hf.co/danish-foundation-models/Meta-Llama-3.1-8B-laerebogen'>danish-foundation-models/Meta-Llama-3.1-8B-laerebogen (zero-shot, val)</a>",📝,2.50@@2.50,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,43.35 ± 1.81 / 56.62 ± 1.29@@43.35,28.18 ± 2.12 / 22.86 ± 1.72@@28.18,25.29 ± 4.64 / 61.87 ± 2.26@@25.29,68.69 ± 1.56 / 52.18 ± 1.90@@68.69,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
"<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da'>alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-filtered-dialog-k2-da (zero-shot, val)</a>",📝,2.52@@2.52,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,44.74 ± 1.58 / 58.25 ± 1.11@@44.74,27.53 ± 1.88 / 20.13 ± 1.54@@27.53,24.53 ± 3.60 / 57.94 ± 2.01@@24.53,65.99 ± 1.11 / 49.69 ± 1.25@@65.99,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,2.54@@2.54,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,38.53 ± 2.59 / 57.46 ± 2.80@@38.53,42.03 ± 3.12 / 32.51 ± 2.25@@42.03,19.54 ± 1.75 / 58.38 ± 1.06@@19.54,61.61 ± 1.91 / 44.14 ± 2.06@@61.61,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,2.57@@2.57,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,41.42 ± 1.42 / 55.83 ± 1.77@@41.42,36.42 ± 1.97 / 21.62 ± 0.81@@36.42,11.29 ± 1.89 / 52.72 ± 2.18@@11.29,68.86 ± 0.93 / 53.17 ± 1.16@@68.86,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,16.3.0.dev0@@160300
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,2.58@@2.58,140642306.0,256000.0,8192.0,✓,✗,(✓),✓,31.52 ± 3.26 / 52.81 ± 2.76@@31.52,50.83 ± 2.51 / 48.87 ± 1.91@@50.83,45.92 ± 6.32 / 72.53 ± 3.23@@45.92,24.57 ± 2.20 / 17.97 ± 2.08@@24.57,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.3.0.dev0@@160300
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,2.63@@2.63,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,37.94 ± 2.47 / 56.91 ± 2.76@@37.94,40.97 ± 3.03 / 31.57 ± 2.19@@40.97,17.46 ± 1.24 / 57.49 ± 0.86@@17.46,53.13 ± 4.22 / 33.32 ± 4.32@@53.13,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-dialog-k2-da'>alexandrainst/Meta-Llama-3.1-8B-dialog-k2-da (zero-shot, val)</a>",📝,2.65@@2.65,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,45.10 ± 2.31 / 50.95 ± 1.56@@45.10,23.79 ± 1.85 / 17.71 ± 1.77@@23.79,10.81 ± 3.03 / 46.53 ± 1.33@@10.81,69.30 ± 1.30 / 54.33 ± 1.23@@69.30,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,2.65@@2.65,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,41.26 ± 2.49 / 60.84 ± 2.06@@41.26,48.45 ± 1.91 / 32.44 ± 1.97@@48.45,22.72 ± 1.21 / 55.05 ± 1.75@@22.72,31.13 ± 1.78 / 5.40 ± 1.70@@31.13,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/arcee-ai/AFM-4.5B-Base'>arcee-ai/AFM-4.5B-Base</a>,🧠,2.66@@2.66,4619184640.0,128004.0,65536.0,✓,✗,(✓),✗,41.34 ± 1.46 / 57.98 ± 0.87@@41.34,34.66 ± 2.79 / 22.77 ± 2.58@@34.66,6.00 ± 1.60 / 41.87 ± 3.98@@6.00,66.66 ± 1.04 / 53.14 ± 0.58@@66.66,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (val)</a>,📝,2.68@@2.68,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,40.99 ± 0.92 / 51.34 ± 0.78@@40.99,36.87 ± 1.26 / 29.62 ± 1.33@@36.87,5.57 ± 2.18 / 36.32 ± 1.51@@5.57,61.90 ± 0.80 / 44.75 ± 1.01@@61.90,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,2.68@@2.68,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,39.60 ± 3.13 / 56.43 ± 4.00@@39.60,42.55 ± 2.12 / 30.65 ± 3.05@@42.55,-0.05 ± 0.11 / 33.41 ± 0.30@@-0.05,66.16 ± 1.43 / 49.37 ± 1.39@@66.16,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,2.69@@2.69,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,35.54 ± 1.24 / 56.28 ± 1.25@@35.54,40.17 ± 3.10 / 26.98 ± 1.77@@40.17,11.79 ± 1.80 / 55.66 ± 0.82@@11.79,59.59 ± 1.01 / 44.13 ± 1.30@@59.59,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.3.0.dev0@@160300
"<a href='https://hf.co/alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-dialog-k2-da'>alexandrainst/Meta-Llama-3.1-8B-laerebogen-and-dialog-k2-da (zero-shot, val)</a>",📝,2.70@@2.70,8030261248.0,128256.0,131072.0,✗,✗,✗,✓,45.04 ± 3.16 / 57.77 ± 2.28@@45.04,26.02 ± 1.68 / 20.42 ± 1.38@@26.02,10.42 ± 2.19 / 43.98 ± 1.02@@10.42,67.47 ± 1.19 / 50.98 ± 1.73@@67.47,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,2.72@@2.72,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,34.47 ± 2.90 / 52.62 ± 3.16@@34.47,39.33 ± 3.19 / 28.83 ± 2.46@@39.33,14.03 ± 2.09 / 54.93 ± 1.80@@14.03,54.84 ± 3.63 / 37.19 ± 4.46@@54.84,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
