<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=13 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,2.11@@2.11,32207337984.0,100352.0,131072.0,✓,✗,55.17 ± 1.03 / 66.10 ± 1.51@@55.17,60.00 ± 1.52 / 60.00 ± 1.52@@60.00,39.38 ± 2.30 / 67.45 ± 1.38@@39.38,66.57 ± 1.88 / 48.51 ± 1.85@@66.57,50.39 ± 1.34 / 62.59 ± 1.03@@50.39,28.08 ± 2.19 / 63.23 ± 1.41@@28.08,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,2.14@@2.14,11168796672.0,32128.0,32768.0,✓,✗,41.41 ± 4.13 / 53.51 ± 4.36@@41.41,59.74 ± 1.05 / 59.74 ± 1.05@@59.74,52.69 ± 2.82 / 75.56 ± 1.72@@52.69,74.17 ± 1.94 / 55.46 ± 2.30@@74.17,38.81 ± 0.52 / 53.82 ± 0.37@@38.81,26.98 ± 2.19 / 63.24 ± 1.12@@26.98,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000
<a href='https://hf.co/INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0'>INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0</a>,📝,2.15@@2.15,12187325040.0,262144.0,8192.0,✗,✗,62.23 ± 1.13 / 71.23 ± 1.35@@62.23,59.92 ± 0.87 / 59.92 ± 0.87@@59.92,54.55 ± 1.40 / 75.76 ± 1.26@@54.55,19.83 ± 0.83 / 0.00 ± 0.00@@19.83,54.04 ± 1.20 / 65.46 ± 0.89@@54.04,39.67 ± 2.02 / 69.81 ± 1.03@@39.67,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.15@@2.15,21511953984.0,201088.0,131072.0,✓,✗,44.34 ± 1.29 / 55.92 ± 1.10@@44.34,63.56 ± 1.09 / 63.56 ± 1.09@@63.56,38.38 ± 1.13 / 67.53 ± 0.82@@38.38,60.85 ± 0.75 / 37.76 ± 0.94@@60.85,57.28 ± 0.80 / 67.91 ± 0.59@@57.28,28.87 ± 2.58 / 64.44 ± 1.27@@28.87,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.18@@2.18,21511953984.0,201088.0,131072.0,✓,✗,45.48 ± 0.80 / 54.03 ± 0.63@@45.48,60.40 ± 0.88 / 60.40 ± 0.88@@60.40,35.17 ± 1.48 / 66.75 ± 0.86@@35.17,57.24 ± 1.04 / 37.67 ± 0.62@@57.24,67.38 ± 0.76 / 74.95 ± 0.54@@67.38,28.27 ± 2.61 / 63.48 ± 1.44@@28.27,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.20@@2.20,12187325040.0,262144.0,8192.0,✓,✗,68.04 ± 1.66 / 77.09 ± 1.81@@68.04,56.61 ± 1.33 / 56.61 ± 1.33@@56.61,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,73.83 ± 2.60 / 57.09 ± 2.42@@73.83,53.11 ± 0.74 / 64.79 ± 0.54@@53.11,37.38 ± 1.72 / 68.70 ± 0.84@@37.38,16.5.0.dev0@@160500,16.4.0.dev0@@160400,16.5.0.dev0@@160500,16.4.0.dev0@@160400,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.20@@2.20,?,256128.0,1048576.0,✓,✗,55.02 ± 2.36 / 65.24 ± 1.37@@55.02,47.53 ± 1.46 / 47.53 ± 1.46@@47.53,34.66 ± 2.22 / 58.51 ± 1.96@@34.66,59.33 ± 1.49 / 38.22 ± 1.46@@59.33,64.51 ± 1.62 / 73.32 ± 1.29@@64.51,29.80 ± 5.02 / 65.31 ± 2.41@@29.80,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,2.23@@2.23,22637328384.0,128000.0,4096.0,✓,✗,58.64 ± 1.23 / 69.08 ± 1.28@@58.64,46.98 ± 0.87 / 46.98 ± 0.87@@46.98,48.29 ± 2.63 / 69.97 ± 3.27@@48.29,66.02 ± 1.46 / 47.55 ± 1.30@@66.02,39.43 ± 1.02 / 53.06 ± 0.84@@39.43,24.63 ± 1.89 / 62.27 ± 0.96@@24.63,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,2.23@@2.23,11168796672.0,32128.0,32768.0,✓,✗,58.80 ± 1.12 / 67.64 ± 1.06@@58.80,54.21 ± 0.89 / 54.21 ± 0.89@@54.21,52.67 ± 2.32 / 73.61 ± 1.93@@52.67,27.59 ± 1.88 / 0.08 ± 0.06@@27.59,47.32 ± 0.71 / 60.40 ± 0.54@@47.32,39.54 ± 1.82 / 69.68 ± 0.95@@39.54,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.24@@2.24,70599864480.0,131072.0,65536.0,✗,✗,57.54 ± 1.30 / 68.96 ± 1.68@@57.54,47.03 ± 1.40 / 47.03 ± 1.40@@47.03,46.24 ± 3.60 / 66.87 ± 3.07@@46.24,64.35 ± 1.60 / 44.05 ± 1.57@@64.35,42.58 ± 1.09 / 56.65 ± 0.83@@42.58,26.87 ± 2.81 / 63.32 ± 1.48@@26.87,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.24@@2.24,8190735360.0,151936.0,40960.0,✓,✗,50.97 ± 1.19 / 65.35 ± 0.97@@50.97,56.11 ± 1.38 / 56.11 ± 1.38@@56.11,36.82 ± 2.27 / 65.03 ± 2.04@@36.82,65.91 ± 1.61 / 45.57 ± 1.78@@65.91,46.87 ± 0.83 / 60.00 ± 0.66@@46.87,24.00 ± 2.69 / 61.96 ± 1.35@@24.00,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.25@@2.25,7849978192.0,262400.0,8192.0,✓,✗,57.35 ± 1.24 / 68.75 ± 1.40@@57.35,58.53 ± 0.75 / 58.53 ± 0.75@@58.53,42.24 ± 1.46 / 70.08 ± 1.02@@42.24,59.25 ± 1.08 / 33.32 ± 1.53@@59.25,39.25 ± 1.05 / 54.16 ± 0.83@@39.25,21.84 ± 1.52 / 60.92 ± 0.78@@21.84,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/lapa-llm/lapa-v0.1.2-instruct'>lapa-llm/lapa-v0.1.2-instruct</a>,📝,2.29@@2.29,12187325040.0,262144.0,8192.0,✗,✗,64.49 ± 1.34 / 73.10 ± 1.54@@64.49,56.28 ± 1.48 / 56.28 ± 1.48@@56.28,43.87 ± 1.83 / 70.92 ± 1.59@@43.87,24.58 ± 0.93 / 0.08 ± 0.06@@24.58,48.94 ± 0.73 / 61.55 ± 0.54@@48.94,33.52 ± 1.97 / 66.67 ± 1.01@@33.52,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.30@@2.30,22637328384.0,128000.0,32768.0,✓,✗,44.79 ± 4.49 / 52.02 ± 5.69@@44.79,50.50 ± 1.72 / 50.50 ± 1.72@@50.50,52.18 ± 1.05 / 75.24 ± 1.02@@52.18,70.59 ± 1.55 / 51.53 ± 1.73@@70.59,39.39 ± 1.18 / 54.32 ± 0.86@@39.39,19.55 ± 1.38 / 59.51 ± 0.61@@19.55,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.33@@2.33,22637328384.0,128000.0,32768.0,✓,✗,54.79 ± 1.72 / 61.21 ± 2.55@@54.79,53.06 ± 1.38 / 53.06 ± 1.38@@53.06,52.55 ± 1.90 / 72.72 ± 1.72@@52.55,33.53 ± 3.87 / 15.56 ± 3.30@@33.53,43.53 ± 1.17 / 57.20 ± 0.90@@43.53,29.66 ± 1.91 / 64.69 ± 0.92@@29.66,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.36@@2.36,4022468096.0,151936.0,262144.0,✗,✗,53.22 ± 1.04 / 66.54 ± 1.35@@53.22,59.69 ± 0.73 / 59.69 ± 0.73@@59.69,22.82 ± 3.29 / 52.31 ± 4.35@@22.82,69.28 ± 1.27 / 47.91 ± 1.15@@69.28,39.47 ± 1.12 / 54.54 ± 0.87@@39.47,19.45 ± 1.58 / 59.72 ± 0.81@@19.45,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,2.37@@2.37,11168796672.0,32128.0,32768.0,✓,✓,54.67 ± 1.10 / 64.95 ± 1.19@@54.67,55.07 ± 1.50 / 55.07 ± 1.50@@55.07,27.98 ± 1.64 / 63.58 ± 0.79@@27.98,69.59 ± 1.37 / 47.11 ± 1.39@@69.59,34.14 ± 1.24 / 50.61 ± 0.94@@34.14,25.60 ± 2.07 / 62.79 ± 1.02@@25.60,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.40@@2.40,4022468096.0,151936.0,40960.0,✓,✗,52.27 ± 1.09 / 66.94 ± 1.06@@52.27,54.95 ± 0.97 / 54.95 ± 0.97@@54.95,37.88 ± 0.73 / 68.46 ± 0.51@@37.88,64.74 ± 1.09 / 45.19 ± 1.07@@64.74,39.59 ± 1.08 / 54.37 ± 0.83@@39.59,14.08 ± 1.86 / 56.57 ± 1.05@@14.08,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,2.43@@2.43,?,?,1047576.0,✓,✗,54.72 ± 2.48 / 66.32 ± 1.68@@54.72,49.14 ± 1.13 / 49.14 ± 1.13@@49.14,0.00 ± 0.00 / 32.87 ± 0.96@@0.00,60.95 ± 1.03 / 36.58 ± 0.92@@60.95,61.96 ± 2.17 / 71.33 ± 1.66@@61.96,36.42 ± 6.33 / 66.88 ± 3.01@@36.42,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.45@@2.45,32234279936.0,100352.0,4096.0,✗,✗,49.79 ± 1.18 / 63.20 ± 1.05@@49.79,52.96 ± 1.31 / 52.96 ± 1.31@@52.96,29.06 ± 1.30 / 64.19 ± 0.92@@29.06,59.33 ± 1.35 / 35.63 ± 1.72@@59.33,41.11 ± 0.84 / 55.53 ± 0.64@@41.11,21.74 ± 2.29 / 60.89 ± 1.14@@21.74,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,2.45@@2.45,31577937344.0,131072.0,262144.0,✓,✗,52.13 ± 1.23 / 62.76 ± 2.50@@52.13,56.11 ± 1.24 / 56.11 ± 1.24@@56.11,24.63 ± 1.94 / 52.82 ± 1.81@@24.63,69.43 ± 1.34 / 49.89 ± 1.45@@69.43,41.77 ± 0.65 / 55.98 ± 0.49@@41.77,11.68 ± 1.88 / 55.85 ± 0.89@@11.68,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2</a>,🤔,2.46@@2.46,8888227328.0,131072.0,131072.0,✓,✗,41.59 ± 2.09 / 54.65 ± 1.99@@41.59,54.89 ± 1.17 / 54.89 ± 1.17@@54.89,21.32 ± 1.95 / 60.51 ± 0.98@@21.32,59.01 ± 1.06 / 41.66 ± 0.98@@59.01,58.25 ± 0.90 / 68.68 ± 0.68@@58.25,23.24 ± 1.75 / 61.62 ± 0.87@@23.24,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.4.0.dev0@@160400
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,2.47@@2.47,40433885184.0,256000.0,32768.0,✓,✗,44.01 ± 6.16 / 55.51 ± 6.98@@44.01,54.03 ± 0.85 / 54.03 ± 0.85@@54.03,40.24 ± 5.25 / 65.08 ± 4.73@@40.24,66.24 ± 1.08 / 45.42 ± 1.68@@66.24,33.99 ± 0.86 / 47.43 ± 0.91@@33.99,11.08 ± 1.49 / 52.64 ± 0.81@@11.08,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,2.48@@2.48,?,128000.0,4096.0,✓,✗,30.96 ± 5.93 / 39.55 ± 6.45@@30.96,49.86 ± 1.41 / 49.86 ± 1.41@@49.86,33.63 ± 4.55 / 58.63 ± 4.89@@33.63,69.75 ± 1.24 / 50.94 ± 1.68@@69.75,40.67 ± 1.37 / 55.36 ± 1.02@@40.67,22.93 ± 2.03 / 61.27 ± 1.01@@22.93,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,2.48@@2.48,70599864480.0,131072.0,65536.0,✓,✗,65.40 ± 1.42 / 76.72 ± 0.98@@65.40,48.17 ± 0.92 / 48.17 ± 0.92@@48.17,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,72.14 ± 2.18 / 53.45 ± 2.33@@72.14,42.65 ± 1.33 / 56.97 ± 0.98@@42.65,25.43 ± 3.18 / 62.17 ± 1.44@@25.43,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it</a>,📝,2.50@@2.50,5439438272.0,262400.0,8192.0,✓,✗,52.94 ± 1.76 / 64.67 ± 1.55@@52.94,50.39 ± 1.27 / 50.39 ± 1.27@@50.39,34.76 ± 1.91 / 65.63 ± 1.60@@34.76,60.85 ± 1.24 / 41.09 ± 1.12@@60.85,36.17 ± 1.40 / 52.01 ± 1.06@@36.17,13.97 ± 2.31 / 56.65 ± 1.16@@13.97,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,2.51@@2.51,9152319488.0,128000.0,4096.0,✗,✗,54.45 ± 2.00 / 67.45 ± 2.13@@54.45,43.40 ± 1.13 / 43.40 ± 1.13@@43.40,39.68 ± 2.02 / 63.96 ± 2.98@@39.68,66.49 ± 1.66 / 49.02 ± 1.51@@66.49,28.82 ± 1.17 / 45.87 ± 0.93@@28.82,16.73 ± 1.73 / 58.06 ± 0.80@@16.73,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.54@@2.54,8030326784.0,128264.0,131072.0,✓,✗,55.99 ± 0.83 / 64.99 ± 0.93@@55.99,51.33 ± 1.34 / 51.33 ± 1.34@@51.33,26.27 ± 1.95 / 61.17 ± 0.96@@26.27,67.49 ± 1.90 / 45.87 ± 2.25@@67.49,27.12 ± 1.27 / 45.11 ± 1.02@@27.12,14.70 ± 1.48 / 57.17 ± 0.83@@14.70,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.55@@2.55,32233522176.0,100278.0,65536.0,✗,✗,53.90 ± 1.38 / 68.42 ± 1.10@@53.90,58.91 ± 1.68 / 58.91 ± 1.68@@58.91,15.26 ± 1.97 / 39.64 ± 1.76@@15.26,69.42 ± 0.98 / 48.70 ± 1.86@@69.42,30.81 ± 0.93 / 47.90 ± 0.71@@30.81,12.20 ± 2.05 / 55.97 ± 1.10@@12.20,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.56@@2.56,8030261248.0,128256.0,131072.0,✓,✗,52.33 ± 0.72 / 60.84 ± 0.76@@52.33,50.23 ± 1.07 / 50.23 ± 1.07@@50.23,23.85 ± 1.47 / 61.39 ± 1.04@@23.85,63.18 ± 1.02 / 38.58 ± 1.31@@63.18,29.84 ± 0.79 / 47.34 ± 0.58@@29.84,17.80 ± 2.71 / 56.70 ± 1.54@@17.80,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.57@@2.57,32233522176.0,100278.0,65536.0,✗,✗,53.04 ± 2.56 / 66.08 ± 4.74@@53.04,53.22 ± 1.09 / 53.22 ± 1.09@@53.22,22.08 ± 2.41 / 50.13 ± 2.95@@22.08,66.64 ± 1.43 / 45.59 ± 1.84@@66.64,31.14 ± 0.87 / 48.22 ± 0.66@@31.14,12.54 ± 2.61 / 56.11 ± 1.34@@12.54,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.62@@2.62,32233522176.0,100278.0,65536.0,✗,✗,50.01 ± 2.48 / 62.03 ± 5.52@@50.01,53.48 ± 1.01 / 53.48 ± 1.01@@53.48,20.92 ± 1.93 / 51.39 ± 2.89@@20.92,66.58 ± 1.71 / 47.02 ± 2.05@@66.58,29.40 ± 1.20 / 46.96 ± 0.90@@29.40,11.32 ± 2.91 / 55.46 ± 1.53@@11.32,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.64@@2.64,3402836480.0,100352.0,131072.0,✓,✗,51.75 ± 1.39 / 65.44 ± 1.48@@51.75,53.34 ± 1.67 / 53.34 ± 1.67@@53.34,27.12 ± 2.18 / 57.10 ± 3.43@@27.12,56.78 ± 3.65 / 38.68 ± 4.24@@56.78,29.05 ± 0.95 / 46.53 ± 0.73@@29.05,8.72 ± 2.00 / 54.15 ± 1.06@@8.72,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,2.66@@2.66,11168796672.0,32128.0,32768.0,✓,✗,53.81 ± 1.27 / 60.99 ± 1.91@@53.81,55.78 ± 1.15 / 55.78 ± 1.15@@55.78,30.77 ± 2.20 / 62.63 ± 1.90@@30.77,26.87 ± 1.03 / 0.12 ± 0.08@@26.87,34.01 ± 0.78 / 50.26 ± 0.60@@34.01,20.59 ± 2.07 / 60.23 ± 1.04@@20.59,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,2.67@@2.67,21948655808.0,103424.0,131072.0,✓,✗,47.79 ± 2.15 / 56.59 ± 2.58@@47.79,47.60 ± 1.38 / 47.60 ± 1.38@@47.60,24.25 ± 1.87 / 57.85 ± 2.14@@24.25,67.09 ± 1.24 / 47.65 ± 1.28@@67.09,29.94 ± 1.32 / 47.26 ± 1.04@@29.94,7.60 ± 2.23 / 53.85 ± 1.08@@7.60,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.70@@2.70,8030261248.0,128256.0,131072.0,✓,✗,58.02 ± 2.05 / 63.88 ± 3.15@@58.02,55.10 ± 1.22 / 55.10 ± 1.22@@55.10,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,70.32 ± 1.56 / 51.80 ± 1.92@@70.32,28.00 ± 1.51 / 45.78 ± 1.08@@28.00,8.32 ± 2.48 / 53.87 ± 1.27@@8.32,16.5.0.dev0@@160500,16.4.0.dev0@@160400,16.5.0.dev0@@160500,16.4.0.dev0@@160400,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,2.71@@2.71,8053338176.0,131072.0,65536.0,✓,✗,63.31 ± 1.08 / 70.97 ± 1.45@@63.31,39.19 ± 3.75 / 39.19 ± 3.75@@39.19,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,69.91 ± 1.80 / 47.56 ± 2.65@@69.91,37.32 ± 1.33 / 52.86 ± 0.95@@37.32,14.82 ± 2.32 / 57.10 ± 1.29@@14.82,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.74@@2.74,8030261248.0,128256.0,131072.0,✓,✗,52.39 ± 0.90 / 63.94 ± 1.06@@52.39,49.82 ± 1.01 / 49.82 ± 1.01@@49.82,34.31 ± 2.92 / 61.05 ± 4.63@@34.31,28.72 ± 8.19 / 5.10 ± 4.48@@28.72,36.16 ± 0.88 / 51.98 ± 0.61@@36.16,11.49 ± 2.28 / 55.50 ± 1.21@@11.49,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
