<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.76@@1.76,4.24,32759790592.0,151665.0,131072.0,✓,✗,90.90 ± 0.68 / 95.39 ± 0.36@@90.90,69.28 ± 1.52 / 45.66 ± 2.50@@69.28,34.30 ± 1.41 / 63.36 ± 1.54@@34.30,69.38 ± 0.83 / 51.14 ± 1.36@@69.38,63.76 ± 0.18 / 9.76 ± 0.35@@63.76,53.82 ± 1.02 / 65.11 ± 0.77@@53.82,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.76@@1.76,N/A,24011361280.0,131072.0,?,✓,✗,92.80 ± 0.54 / 96.37 ± 0.28@@92.80,67.16 ± 2.10 / 49.82 ± 2.42@@67.16,34.77 ± 1.47 / 63.81 ± 1.94@@34.77,76.86 ± 1.43 / 61.30 ± 2.09@@76.86,64.18 ± 2.03 / 12.59 ± 1.32@@64.18,42.56 ± 1.83 / 56.12 ± 1.40@@42.56,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.5.0.dev0@@160500,15.9.1.dev0@@150901,15.9.1.dev0@@150901,16.5.0.dev0@@160500
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.77@@1.77,?,24011361280.0,131072.0,8192.0,✓,✗,91.47 ± 0.61 / 95.67 ± 0.33@@91.47,65.41 ± 1.71 / 43.92 ± 3.66@@65.41,31.96 ± 1.98 / 62.71 ± 2.35@@31.96,76.47 ± 1.73 / 61.45 ± 2.39@@76.47,63.60 ± 0.15 / 9.18 ± 0.27@@63.60,54.36 ± 1.16 / 65.15 ± 0.98@@54.36,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/bullerwins/Magistral-Small-2506-fp8'>bullerwins/Magistral-Small-2506-fp8</a>,🧠,1.77@@1.77,N/A,23575680000.0,131072.0,32768.0,✓,✗,91.65 ± 0.80 / 95.77 ± 0.42@@91.65,68.29 ± 1.85 / 43.08 ± 4.56@@68.29,35.93 ± 2.58 / 66.17 ± 2.50@@35.93,72.10 ± 1.38 / 54.85 ± 2.56@@72.10,64.81 ± 0.36 / 12.27 ± 0.70@@64.81,42.13 ± 1.40 / 55.45 ± 1.18@@42.13,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.78@@1.78,0.8,27432406640.0,262144.0,?,✓,✗,91.45 ± 1.19 / 95.65 ± 0.63@@91.45,61.34 ± 1.61 / 39.70 ± 2.11@@61.34,36.96 ± 3.07 / 66.70 ± 1.97@@36.96,65.15 ± 0.46 / 45.38 ± 1.44@@65.15,64.18 ± 0.13 / 10.48 ± 0.27@@64.18,62.59 ± 1.29 / 71.75 ± 1.01@@62.59,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,1.78@@1.78,?,405868625920.0,128256.0,131072.0,✓,✗,92.59 ± 0.61 / 96.26 ± 0.32@@92.59,66.26 ± 1.99 / 59.79 ± 2.27@@66.26,31.55 ± 4.14 / 58.27 ± 3.63@@31.55,64.34 ± 0.93 / 45.34 ± 2.67@@64.34,64.13 ± 0.65 / 17.39 ± 0.67@@64.13,63.72 ± 0.74 / 72.71 ± 0.56@@63.72,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.79@@1.79,74.58,?,?,1047576.0,✓,✗,88.72 ± 1.44 / 94.16 ± 0.75@@88.72,53.11 ± 2.00 / 28.88 ± 1.64@@53.11,41.78 ± 2.68 / 68.49 ± 1.58@@41.78,58.07 ± 0.67 / 35.58 ± 0.91@@58.07,63.77 ± 0.09 / 9.24 ± 0.19@@63.77,77.62 ± 1.18 / 83.20 ± 0.89@@77.62,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.79@@1.79,?,?,?,?,✓,✗,92.17 ± 0.88 / 96.00 ± 0.45@@92.17,64.29 ± 1.89 / 54.45 ± 2.10@@64.29,16.39 ± 3.60 / 48.22 ± 1.85@@16.39,66.69 ± 0.67 / 46.86 ± 0.93@@66.69,63.21 ± 0.18 / 9.26 ± 0.25@@63.21,88.15 ± 1.42 / 91.13 ± 1.06@@88.15,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"xai/grok-3-beta (zero-shot, val)</a>",📝,1.79@@1.79,?,?,?,131072.0,✓,✗,87.86 ± 1.33 / 93.68 ± 0.69@@87.86,57.07 ± 1.29 / 25.73 ± 1.72@@57.07,38.12 ± 3.37 / 68.61 ± 1.67@@38.12,57.34 ± 0.74 / 28.93 ± 1.16@@57.34,63.49 ± 0.12 / 8.21 ± 0.16@@63.49,80.26 ± 1.08 / 85.27 ± 0.84@@80.26,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.80@@1.80,88.07,?,?,1047576.0,✓,✗,89.57 ± 1.04 / 94.59 ± 0.55@@89.57,49.13 ± 1.80 / 25.30 ± 1.25@@49.13,45.18 ± 2.89 / 72.47 ± 1.47@@45.18,62.75 ± 0.84 / 44.02 ± 1.22@@62.75,63.46 ± 0.11 / 8.27 ± 0.19@@63.46,68.56 ± 1.79 / 76.48 ± 1.33@@68.56,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,1.80@@1.80,?,?,256128.0,1048576.0,✓,✗,88.86 ± 1.20 / 94.23 ± 0.63@@88.86,55.45 ± 2.21 / 33.48 ± 1.93@@55.45,41.36 ± 3.42 / 66.94 ± 1.81@@41.36,62.28 ± 0.65 / 38.84 ± 1.36@@62.28,63.01 ± 0.14 / 8.11 ± 0.22@@63.01,66.74 ± 1.78 / 74.77 ± 1.36@@66.74,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
<a href='https://hf.co/Qwen/Qwen3-235B-A22B'>Qwen/Qwen3-235B-A22B</a>,🤔,1.80@@1.80,?,235093634560.0,151936.0,40960.0,✓,✗,91.25 ± 0.54 / 95.57 ± 0.28@@91.25,63.20 ± 1.70 / 37.04 ± 2.26@@63.20,37.92 ± 1.39 / 68.76 ± 0.68@@37.92,66.29 ± 0.78 / 52.48 ± 0.93@@66.29,62.75 ± 0.09 / 7.64 ± 0.14@@62.75,61.70 ± 0.70 / 71.32 ± 0.52@@61.70,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.80@@1.80,20.48,?,100256.0,272000.0,✓,✗,87.63 ± 1.27 / 93.65 ± 0.66@@87.63,65.77 ± 1.27 / 56.81 ± 1.65@@65.77,41.20 ± 2.58 / 68.59 ± 1.51@@41.20,64.78 ± 0.56 / 48.65 ± 0.70@@64.78,62.26 ± 0.10 / 6.46 ± 0.15@@62.26,52.96 ± 2.29 / 64.65 ± 1.71@@52.96,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.80@@1.80,?,?,100256.0,272000.0,✓,✗,88.69 ± 1.14 / 94.20 ± 0.60@@88.69,62.46 ± 2.52 / 37.59 ± 2.54@@62.46,34.95 ± 2.61 / 65.75 ± 1.63@@34.95,62.99 ± 0.66 / 46.61 ± 1.44@@62.99,62.85 ± 0.10 / 7.23 ± 0.18@@62.85,72.06 ± 2.31 / 79.10 ± 1.77@@72.06,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#thinking (zero-shot, val)</a>",🤔,1.81@@1.81,?,?,256128.0,1048576.0,✓,✗,88.50 ± 1.21 / 94.03 ± 0.64@@88.50,61.76 ± 2.58 / 38.94 ± 2.74@@61.76,40.35 ± 2.11 / 69.97 ± 1.09@@40.35,61.31 ± 1.24 / 40.71 ± 1.63@@61.31,63.25 ± 0.14 / 8.01 ± 0.23@@63.25,63.47 ± 2.22 / 72.42 ± 1.77@@63.47,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.81@@1.81,?,?,256128.0,1048576.0,✓,✗,88.50 ± 1.21 / 94.03 ± 0.64@@88.50,61.76 ± 2.58 / 38.94 ± 2.74@@61.76,40.35 ± 2.11 / 69.97 ± 1.09@@40.35,61.31 ± 1.24 / 40.71 ± 1.63@@61.31,63.25 ± 0.14 / 8.01 ± 0.23@@63.25,63.47 ± 2.22 / 72.42 ± 1.77@@63.47,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.82@@1.82,12.6,72706203648.0,152064.0,32768.0,✓,✗,92.47 ± 0.69 / 96.21 ± 0.36@@92.47,65.09 ± 1.24 / 36.56 ± 2.08@@65.09,31.28 ± 2.50 / 63.69 ± 1.95@@31.28,69.76 ± 0.78 / 50.61 ± 2.30@@69.76,63.09 ± 0.09 / 8.37 ± 0.12@@63.09,57.79 ± 1.10 / 67.91 ± 0.88@@57.79,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
"<a href='https://docs.x.ai/docs/models'>xai/grok-2-1212 (zero-shot, val)</a>",📝,1.82@@1.82,?,?,?,131072.0,✓,✗,91.28 ± 0.97 / 95.53 ± 0.50@@91.28,53.52 ± 1.75 / 28.46 ± 1.40@@53.52,38.34 ± 3.60 / 66.76 ± 2.13@@38.34,61.86 ± 0.75 / 36.01 ± 1.22@@61.86,63.22 ± 0.12 / 7.83 ± 0.18@@63.22,70.79 ± 1.37 / 78.28 ± 1.05@@70.79,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.82@@1.82,?,81324862720.0,151936.0,262144.0,✓,✗,91.72 ± 0.87 / 95.80 ± 0.45@@91.72,62.53 ± 1.22 / 34.77 ± 1.79@@62.53,36.19 ± 1.81 / 67.72 ± 1.01@@36.19,64.81 ± 1.21 / 45.92 ± 1.36@@64.81,62.93 ± 0.05 / 8.17 ± 0.07@@62.93,59.13 ± 1.23 / 69.11 ± 0.92@@59.13,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.85@@1.85,N/A,12187325040.0,262144.0,?,✓,✗,92.87 ± 0.78 / 96.40 ± 0.41@@92.87,55.73 ± 1.61 / 33.42 ± 3.23@@55.73,35.23 ± 4.03 / 64.84 ± 3.44@@35.23,74.35 ± 1.33 / 59.63 ± 1.44@@74.35,66.27 ± 0.46 / 15.71 ± 0.83@@66.27,39.15 ± 1.49 / 53.57 ± 1.17@@39.15,16.5.0.dev0@@160500,15.9.2.dev0@@150902,16.5.0.dev0@@160500,15.9.2.dev0@@150902,15.9.2.dev0@@150902,16.5.0.dev0@@160500
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B</a>,🤔,1.86@@1.86,?,32762123264.0,151936.0,40960.0,✓,✗,90.66 ± 0.75 / 95.26 ± 0.39@@90.66,59.89 ± 1.74 / 44.68 ± 1.42@@59.89,38.30 ± 1.73 / 68.93 ± 0.89@@38.30,65.96 ± 0.73 / 52.55 ± 1.07@@65.96,62.80 ± 0.08 / 7.69 ± 0.11@@62.80,54.73 ± 1.45 / 66.06 ± 1.10@@54.73,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.86@@1.86,3.28,32762123264.0,151936.0,40960.0,✓,✗,92.18 ± 0.59 / 96.05 ± 0.30@@92.18,52.70 ± 1.98 / 36.11 ± 2.02@@52.70,39.12 ± 1.30 / 69.29 ± 0.70@@39.12,69.09 ± 1.13 / 48.85 ± 1.15@@69.09,63.56 ± 0.12 / 9.09 ± 0.21@@63.56,56.13 ± 1.25 / 66.83 ± 0.96@@56.13,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview</a>,📝,1.88@@1.88,?,32763876352.0,152064.0,32768.0,✓,✗,89.45 ± 0.69 / 94.59 ± 0.37@@89.45,61.48 ± 1.94 / 37.17 ± 3.19@@61.48,36.72 ± 1.25 / 67.32 ± 0.89@@36.72,69.16 ± 0.91 / 44.94 ± 2.35@@69.16,62.80 ± 0.08 / 8.10 ± 0.13@@62.80,49.13 ± 0.95 / 61.21 ± 0.73@@49.13,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,1.89@@1.89,?,?,?,200000.0,✓,✗,89.58 ± 1.08 / 94.67 ± 0.56@@89.58,47.26 ± 2.79 / 36.42 ± 2.07@@47.26,38.25 ± 2.18 / 66.53 ± 1.22@@38.25,63.73 ± 0.57 / 47.84 ± 0.91@@63.73,62.88 ± 0.14 / 7.59 ± 0.23@@62.88,67.64 ± 1.43 / 75.27 ± 1.11@@67.64,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,1.90@@1.90,?,30532122624.0,151936.0,40960.0,✓,✗,91.32 ± 0.57 / 95.62 ± 0.29@@91.32,70.09 ± 1.12 / 49.72 ± 1.88@@70.09,31.55 ± 1.96 / 65.48 ± 0.98@@31.55,65.15 ± 0.87 / 48.87 ± 1.70@@65.15,62.72 ± 0.07 / 7.51 ± 0.10@@62.72,47.36 ± 0.71 / 60.56 ± 0.53@@47.36,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
<a href='https://hf.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501</a>,📝,1.90@@1.90,?,23572403200.0,131072.0,32768.0,✓,✗,90.98 ± 0.98 / 95.41 ± 0.52@@90.98,57.34 ± 1.84 / 30.12 ± 1.57@@57.34,33.88 ± 1.30 / 66.73 ± 0.60@@33.88,66.66 ± 0.87 / 50.96 ± 0.93@@66.66,63.44 ± 0.10 / 8.96 ± 0.23@@63.44,58.34 ± 0.94 / 68.58 ± 0.74@@58.34,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct</a>,📝,1.91@@1.91,?,70553706496.0,128256.0,8192.0,✓,✗,92.39 ± 0.62 / 96.17 ± 0.32@@92.39,63.19 ± 1.90 / 39.45 ± 1.78@@63.19,29.85 ± 2.26 / 62.76 ± 2.13@@29.85,63.67 ± 1.31 / 42.68 ± 1.96@@63.67,64.70 ± 0.15 / 11.90 ± 0.29@@64.70,46.89 ± 1.17 / 59.83 ± 0.90@@46.89,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (zero-shot, val)</a>",📝,1.92@@1.92,?,?,256128.0,2097152.0,✓,✗,90.98 ± 1.43 / 95.37 ± 0.75@@90.98,50.03 ± 2.57 / 29.22 ± 1.62@@50.03,35.88 ± 2.58 / 65.54 ± 1.17@@35.88,55.84 ± 0.47 / 34.18 ± 0.98@@55.84,64.18 ± 0.13 / 10.09 ± 0.27@@64.18,70.95 ± 1.90 / 78.36 ± 1.42@@70.95,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.92@@1.92,0.97,12187325040.0,262144.0,?,✓,✗,91.54 ± 0.71 / 95.70 ± 0.38@@91.54,60.27 ± 1.09 / 33.56 ± 1.25@@60.27,31.21 ± 2.06 / 61.91 ± 2.37@@31.21,63.18 ± 1.23 / 44.41 ± 1.72@@63.18,64.08 ± 0.07 / 10.35 ± 0.15@@64.08,53.81 ± 0.97 / 65.39 ± 0.73@@53.81,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/ThatsGroes/gemma-2-27b-it-FP8-Dynamic'>ThatsGroes/gemma-2-27b-it-FP8-Dynamic</a>,📝,1.93@@1.93,?,28410968576.0,256000.0,8192.0,✓,✗,92.05 ± 0.82 / 95.96 ± 0.43@@92.05,50.35 ± 1.08 / 26.48 ± 1.45@@50.35,35.07 ± 2.28 / 65.78 ± 1.65@@35.07,64.41 ± 0.96 / 45.90 ± 1.76@@64.41,64.46 ± 0.08 / 11.13 ± 0.19@@64.46,55.07 ± 1.07 / 66.25 ± 0.79@@55.07,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/google/gemma-2-27b'>google/gemma-2-27b</a>,🧠,1.94@@1.94,N/A,27227128320.0,256000.0,8192.0,✓,✗,93.12 ± 0.56 / 96.53 ± 0.29@@93.12,42.28 ± 2.18 / 32.97 ± 2.03@@42.28,32.59 ± 3.14 / 63.05 ± 3.17@@32.59,77.11 ± 1.10 / 61.05 ± 1.53@@77.11,66.17 ± 0.78 / 16.28 ± 0.92@@66.17,39.22 ± 1.96 / 52.89 ± 1.79@@39.22,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/google/gemma-2-27b-it'>google/gemma-2-27b-it</a>,📝,1.94@@1.94,?,27227128320.0,256000.0,8192.0,✓,✗,91.99 ± 0.83 / 95.94 ± 0.43@@91.99,50.63 ± 1.43 / 26.11 ± 1.50@@50.63,34.52 ± 2.40 / 65.56 ± 1.58@@34.52,64.60 ± 1.01 / 45.91 ± 1.81@@64.60,64.44 ± 0.08 / 11.03 ± 0.18@@64.44,54.82 ± 1.03 / 66.03 ± 0.77@@54.82,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,1.95@@1.95,?,30532122624.0,151936.0,40960.0,✓,✗,91.15 ± 0.72 / 95.52 ± 0.38@@91.15,61.99 ± 1.25 / 37.40 ± 2.25@@61.99,31.44 ± 2.78 / 64.46 ± 1.87@@31.44,66.29 ± 1.19 / 49.19 ± 1.55@@66.29,63.36 ± 0.11 / 8.74 ± 0.21@@63.36,45.34 ± 1.07 / 58.65 ± 0.81@@45.34,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.96@@1.96,0.83,14768307200.0,151936.0,40960.0,✓,✗,91.11 ± 0.77 / 95.49 ± 0.40@@91.11,57.58 ± 1.62 / 35.47 ± 2.25@@57.58,32.05 ± 1.37 / 65.67 ± 0.76@@32.05,71.40 ± 0.88 / 53.13 ± 1.83@@71.40,63.42 ± 0.11 / 9.02 ± 0.21@@63.42,42.58 ± 1.33 / 56.74 ± 1.01@@42.58,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/allenai/OLMo-2-0325-32B'>allenai/OLMo-2-0325-32B</a>,🧠,1.96@@1.96,N/A,32234279936.0,100352.0,4096.0,✓,✗,92.42 ± 0.60 / 96.19 ± 0.31@@92.42,58.46 ± 2.23 / 29.27 ± 2.13@@58.46,25.12 ± 1.41 / 60.89 ± 1.09@@25.12,73.13 ± 0.55 / 50.61 ± 1.47@@73.13,66.06 ± 0.27 / 15.15 ± 0.54@@66.06,36.38 ± 1.52 / 51.99 ± 1.17@@36.38,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF'>nvidia/Llama-3.1-Nemotron-70B-Instruct-HF</a>,📝,1.96@@1.96,?,70553706496.0,128256.0,131072.0,✓,✗,92.66 ± 0.61 / 96.30 ± 0.31@@92.66,59.85 ± 1.51 / 29.42 ± 1.08@@59.85,35.89 ± 1.38 / 66.35 ± 1.19@@35.89,56.23 ± 1.08 / 32.94 ± 1.37@@56.23,62.46 ± 0.24 / 9.22 ± 0.15@@62.46,57.23 ± 0.93 / 67.60 ± 0.78@@57.23,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.97@@1.97,?,?,?,200000.0,✓,✗,89.23 ± 1.39 / 94.43 ± 0.72@@89.23,49.98 ± 2.13 / 29.82 ± 1.72@@49.98,29.48 ± 4.01 / 64.10 ± 1.88@@29.48,61.72 ± 0.92 / 37.00 ± 1.33@@61.72,63.23 ± 0.12 / 8.35 ± 0.16@@63.23,67.27 ± 1.71 / 75.51 ± 1.29@@67.27,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,1.97@@1.97,?,14768307200.0,151936.0,40960.0,✓,✗,90.78 ± 0.89 / 95.33 ± 0.47@@90.78,58.05 ± 2.74 / 40.09 ± 2.13@@58.05,32.77 ± 2.48 / 65.26 ± 1.36@@32.77,67.97 ± 0.73 / 52.07 ± 1.45@@67.97,62.87 ± 0.09 / 7.87 ± 0.12@@62.87,45.17 ± 1.27 / 58.91 ± 0.97@@45.17,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
