<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=14 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=16 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=17 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=18 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=20 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,,,
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,2.88@@2.88,N/A,7298011136.0,100278.0,65536.0,✓,✗,(✓),✓,45.36 ± 2.41 / 62.11 ± 2.05@@45.36,56.89 ± 2.01 / 31.17 ± 2.40@@56.89,57.38 ± 1.31 / 35.36 ± 2.70@@57.38,9.63 ± 2.44 / 42.18 ± 4.32@@9.63,5.58 ± 2.73 / 42.18 ± 5.62@@5.58,70.17 ± 2.26 / 47.10 ± 3.47@@70.17,23.97 ± 0.65 / 25.67 ± 0.89@@23.97,19.90 ± 0.93 / 41.18 ± 0.65@@19.90,0.54 ± 0.78 / 25.46 ± 0.65@@0.54,30.92 ± 1.63 / 44.47 ± 1.34@@30.92,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (val)</a>,📝,2.93@@2.93,12.31,2614341888.0,256000.0,8192.0,✗,✗,(✓),✗,34.75 ± 4.19 / 52.74 ± 2.31@@34.75,34.37 ± 3.59 / 23.74 ± 1.25@@34.37,43.47 ± 3.56 / 27.62 ± 1.98@@43.47,10.16 ± 4.64 / 49.12 ± 3.58@@10.16,9.49 ± 3.53 / 47.85 ± 2.19@@9.49,57.20 ± 2.99 / 32.58 ± 3.13@@57.20,29.88 ± 0.18 / 33.69 ± 0.20@@29.88,14.99 ± 2.26 / 33.55 ± 1.98@@14.99,0.61 ± 2.20 / 24.30 ± 1.33@@0.61,41.02 ± 2.93 / 51.09 ± 2.89@@41.02,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.17.0.dev0@@161700,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/google/gemma-4-26B-A4B'>google/gemma-4-26B-A4B (val)</a>,🧠,2.94@@2.94,N/A,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,32.22 ± 1.44 / 53.64 ± 0.86@@32.22,47.03 ± 1.95 / 39.69 ± 1.74@@47.03,45.32 ± 1.64 / 39.50 ± 1.41@@45.32,30.61 ± 2.51 / 63.99 ± 1.20@@30.61,14.94 ± 2.61 / 56.45 ± 1.18@@14.94,66.06 ± 1.95 / 39.58 ± 2.13@@66.06,19.28 ± 0.92 / 19.78 ± 0.95@@19.28,35.13 ± 1.82 / 51.41 ± 1.34@@35.13,8.87 ± 1.95 / 31.48 ± 1.43@@8.87,44.82 ± 3.06 / 55.31 ± 2.52@@44.82,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,2.95@@2.95,1.81,3606752256.0,128256.0,131072.0,✓,✗,(✓),✗,41.68 ± 2.17 / 59.35 ± 1.99@@41.68,54.53 ± 2.06 / 50.07 ± 2.10@@54.53,56.78 ± 1.43 / 47.97 ± 3.36@@56.78,23.29 ± 1.66 / 60.50 ± 1.13@@23.29,17.75 ± 1.53 / 54.42 ± 2.69@@17.75,15.79 ± 1.90 / 0.04 ± 0.03@@15.79,30.20 ± 0.18 / 33.58 ± 0.15@@30.20,19.88 ± 1.29 / 38.56 ± 1.15@@19.88,3.01 ± 1.50 / 27.15 ± 0.96@@3.01,31.49 ± 1.95 / 43.58 ± 1.91@@31.49,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,2.98@@2.98,0.09,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,40.88 ± 1.11 / 59.48 ± 0.84@@40.88,50.48 ± 2.51 / 46.39 ± 2.38@@50.48,47.18 ± 1.65 / 42.49 ± 2.22@@47.18,18.76 ± 2.68 / 54.36 ± 3.44@@18.76,7.11 ± 1.35 / 48.55 ± 2.73@@7.11,57.05 ± 1.43 / 33.68 ± 1.44@@57.05,27.33 ± 0.14 / 30.53 ± 0.18@@27.33,13.83 ± 1.19 / 36.74 ± 0.87@@13.83,-0.65 ± 0.86 / 24.68 ± 0.63@@-0.65,20.84 ± 2.31 / 36.44 ± 1.81@@20.84,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,3.01@@3.01,0.39,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,40.30 ± 1.16 / 59.06 ± 0.96@@40.30,49.93 ± 2.38 / 44.52 ± 2.08@@49.93,47.13 ± 1.24 / 40.88 ± 2.14@@47.13,15.95 ± 1.78 / 51.36 ± 2.86@@15.95,7.46 ± 1.31 / 46.78 ± 2.71@@7.46,55.47 ± 2.45 / 30.63 ± 2.63@@55.47,27.15 ± 0.13 / 30.70 ± 0.15@@27.15,12.52 ± 1.18 / 35.78 ± 0.90@@12.52,-0.80 ± 1.21 / 24.61 ± 0.75@@-0.80,21.62 ± 2.03 / 37.04 ± 1.57@@21.62,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (val)</a>,📝,3.09@@3.09,2.26,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,31.91 ± 1.47 / 38.14 ± 2.13@@31.91,45.59 ± 0.90 / 41.49 ± 1.83@@45.59,51.19 ± 1.02 / 44.25 ± 1.17@@51.19,11.26 ± 3.03 / 52.42 ± 1.86@@11.26,12.45 ± 2.11 / 52.00 ± 1.12@@12.45,50.47 ± 0.69 / 24.55 ± 1.09@@50.47,27.59 ± 0.13 / 31.70 ± 0.16@@27.59,10.34 ± 1.13 / 32.62 ± 0.86@@10.34,-1.78 ± 1.78 / 25.27 ± 1.14@@-1.78,23.74 ± 3.60 / 35.62 ± 3.11@@23.74,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,3.13@@3.13,N/A,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,33.12 ± 2.30 / 51.30 ± 1.82@@33.12,57.40 ± 1.86 / 49.33 ± 2.44@@57.40,54.85 ± 1.37 / 46.81 ± 2.36@@54.85,0.65 ± 1.29 / 33.91 ± 0.46@@0.65,0.45 ± 1.26 / 33.43 ± 0.27@@0.45,60.66 ± 4.43 / 37.35 ± 4.95@@60.66,23.00 ± 0.82 / 25.13 ± 1.09@@23.00,21.48 ± 1.24 / 41.09 ± 0.96@@21.48,1.31 ± 1.08 / 25.89 ± 0.77@@1.31,21.63 ± 1.64 / 35.70 ± 1.39@@21.63,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.23@@3.23,0.22,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,44.43 ± 2.28 / 60.95 ± 2.11@@44.43,37.29 ± 2.54 / 31.54 ± 1.65@@37.29,38.72 ± 1.73 / 34.12 ± 1.89@@38.72,13.87 ± 1.35 / 50.91 ± 1.59@@13.87,9.71 ± 1.74 / 47.86 ± 1.44@@9.71,18.69 ± 0.86 / 0.01 ± 0.02@@18.69,25.69 ± 0.53 / 27.55 ± 0.68@@25.69,19.33 ± 0.94 / 40.43 ± 0.68@@19.33,1.55 ± 0.97 / 26.44 ± 0.67@@1.55,31.71 ± 3.49 / 45.09 ± 2.78@@31.71,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3.5-2B-Base'>Qwen/Qwen3.5-2B-Base (val)</a>,🧠,3.24@@3.24,N/A,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,16.22 ± 3.82 / 36.31 ± 1.91@@16.22,46.66 ± 1.14 / 33.34 ± 2.20@@46.66,53.06 ± 1.84 / 38.55 ± 2.10@@53.06,7.71 ± 3.58 / 38.64 ± 2.98@@7.71,3.25 ± 2.75 / 36.02 ± 0.89@@3.25,68.14 ± 1.40 / 45.34 ± 1.93@@68.14,18.98 ± 0.71 / 19.50 ± 0.67@@18.98,14.23 ± 1.01 / 27.03 ± 1.08@@14.23,1.38 ± 1.49 / 25.20 ± 0.62@@1.38,37.72 ± 1.81 / 42.19 ± 1.86@@37.72,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,3.25@@3.25,5.13,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,36.88 ± 1.29 / 56.73 ± 0.96@@36.88,52.45 ± 2.36 / 44.32 ± 2.34@@52.45,49.60 ± 0.99 / 41.24 ± 2.46@@49.60,9.53 ± 1.92 / 46.48 ± 3.48@@9.53,4.43 ± 1.68 / 43.99 ± 2.37@@4.43,48.40 ± 2.57 / 25.21 ± 2.98@@48.40,21.27 ± 0.70 / 22.08 ± 0.85@@21.27,11.47 ± 1.01 / 34.39 ± 0.75@@11.47,-1.60 ± 0.91 / 24.10 ± 0.66@@-1.60,16.50 ± 1.17 / 33.08 ± 0.91@@16.50,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct (val)</a>,🤔,3.28@@3.28,?,4221757440.0,120818.0,262144.0,✓,✗,(✓),✓,44.06 ± 2.27 / 61.18 ± 1.82@@44.06,60.93 ± 1.19 / 55.07 ± 1.25@@60.93,57.81 ± 1.45 / 52.87 ± 1.12@@57.81,11.64 ± 2.59 / 55.26 ± 1.34@@11.64,7.02 ± 3.15 / 50.02 ± 1.25@@7.02,38.20 ± 0.99 / 0.00 ± 0.00@@38.20,23.13 ± 0.19 / 26.92 ± 0.20@@23.13,0.00 ± 0.00 / 20.20 ± 0.82@@0.00,0.00 ± 0.00 / 24.61 ± 0.59@@0.00,0.00 ± 0.00 / 22.66 ± 1.46@@0.00,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8 (val)</a>,🤔,3.31@@3.31,?,2680100864.0,131072.0,262144.0,✓,✗,✗,✓,42.19 ± 1.47 / 59.29 ± 0.99@@42.19,61.82 ± 1.57 / 58.19 ± 2.12@@61.82,58.97 ± 1.59 / 55.20 ± 1.36@@58.97,16.73 ± 1.78 / 56.32 ± 1.07@@16.73,3.77 ± 2.65 / 43.64 ± 1.57@@3.77,11.12 ± 0.99 / 4.91 ± 0.55@@11.12,17.29 ± 0.60 / 19.46 ± 0.68@@17.29,18.32 ± 1.36 / 38.95 ± 1.16@@18.32,3.04 ± 1.07 / 27.23 ± 0.79@@3.04,47.02 ± 1.55 / 56.72 ± 1.26@@47.02,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/NbAiLab/borealis-1b-instruct-preview'>NbAiLab/borealis-1b-instruct-preview (val)</a>,📝,3.33@@3.33,3.6,999885952.0,262144.0,32768.0,✓,✗,(✓),✗,37.76 ± 3.48 / 53.16 ± 2.82@@37.76,32.97 ± 1.66 / 32.69 ± 2.01@@32.97,44.69 ± 3.37 / 41.31 ± 3.39@@44.69,9.16 ± 3.75 / 52.27 ± 1.86@@9.16,7.82 ± 4.99 / 48.78 ± 3.01@@7.82,41.73 ± 2.67 / 21.96 ± 2.63@@41.73,24.85 ± 0.49 / 26.33 ± 0.66@@24.85,7.97 ± 2.90 / 24.06 ± 1.18@@7.97,0.50 ± 3.22 / 24.73 ± 1.35@@0.50,4.36 ± 6.40 / 23.75 ± 3.47@@4.36,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.17.0.dev0@@161700,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.35@@3.35,N/A,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,31.30 ± 1.48 / 35.77 ± 1.85@@31.30,27.13 ± 1.84 / 27.66 ± 1.75@@27.13,31.21 ± 2.04 / 31.37 ± 2.11@@31.21,1.34 ± 2.62 / 33.74 ± 0.76@@1.34,3.20 ± 2.57 / 33.96 ± 0.74@@3.20,60.28 ± 3.96 / 38.26 ± 4.19@@60.28,22.47 ± 1.09 / 24.02 ± 0.97@@22.47,13.77 ± 2.05 / 30.46 ± 1.52@@13.77,0.99 ± 0.91 / 26.16 ± 0.67@@0.99,17.82 ± 2.31 / 29.01 ± 1.72@@17.82,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct</a>,📝,3.36@@3.36,8.47,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,25.56 ± 0.69 / 36.27 ± 0.49@@25.56,42.35 ± 1.94 / 30.24 ± 1.48@@42.35,44.44 ± 2.04 / 31.90 ± 2.16@@44.44,8.30 ± 1.72 / 48.81 ± 4.22@@8.30,5.82 ± 0.94 / 49.02 ± 2.70@@5.82,48.30 ± 3.45 / 27.77 ± 2.99@@48.30,22.13 ± 0.38 / 24.67 ± 0.40@@22.13,10.05 ± 1.11 / 34.55 ± 0.74@@10.05,-0.91 ± 0.57 / 24.53 ± 0.57@@-0.91,22.10 ± 1.16 / 36.56 ± 1.11@@22.10,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.38@@3.38,?,2424375168.0,99000.0,28723.0,✗,✗,(✓),✓,30.00 ± 1.75 / 52.29 ± 1.67@@30.00,36.12 ± 1.92 / 28.34 ± 2.10@@36.12,35.31 ± 1.30 / 28.60 ± 2.11@@35.31,5.45 ± 1.38 / 45.14 ± 2.09@@5.45,4.99 ± 1.92 / 46.48 ± 2.98@@4.99,36.11 ± 2.50 / 8.96 ± 2.63@@36.11,26.14 ± 0.33 / 29.75 ± 0.38@@26.14,7.41 ± 0.83 / 31.81 ± 1.07@@7.41,1.28 ± 1.73 / 25.66 ± 1.15@@1.28,18.36 ± 2.24 / 33.20 ± 1.99@@18.36,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3.5-0.8B-Base'>Qwen/Qwen3.5-0.8B-Base (val)</a>,🧠,3.45@@3.45,N/A,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,30.16 ± 1.28 / 39.76 ± 0.93@@30.16,44.48 ± 1.37 / 34.43 ± 0.92@@44.48,49.69 ± 1.19 / 37.38 ± 0.95@@49.69,0.79 ± 0.79 / 33.55 ± 0.85@@0.79,0.90 ± 1.66 / 36.17 ± 1.50@@0.90,55.04 ± 2.11 / 35.01 ± 2.38@@55.04,17.60 ± 0.55 / 19.07 ± 0.77@@17.60,9.26 ± 1.47 / 31.17 ± 1.11@@9.26,-0.46 ± 1.15 / 24.84 ± 0.77@@-0.46,9.13 ± 2.66 / 18.28 ± 2.48@@9.13,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.45@@3.45,?,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,32.26 ± 3.75 / 51.86 ± 4.89@@32.26,41.65 ± 1.94 / 37.29 ± 3.14@@41.65,38.22 ± 1.89 / 35.72 ± 2.27@@38.22,9.88 ± 1.14 / 52.54 ± 1.67@@9.88,6.83 ± 1.51 / 51.66 ± 2.00@@6.83,14.72 ± 1.95 / 0.01 ± 0.02@@14.72,28.07 ± 0.12 / 31.41 ± 0.17@@28.07,4.66 ± 1.90 / 27.67 ± 1.04@@4.66,2.23 ± 1.21 / 26.84 ± 0.82@@2.23,6.63 ± 1.27 / 25.11 ± 0.90@@6.63,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.51@@3.51,8.84,751632384.0,151936.0,40960.0,✓,✗,✗,✓,15.80 ± 3.71 / 31.68 ± 4.53@@15.80,35.50 ± 1.98 / 25.53 ± 2.44@@35.50,35.85 ± 1.16 / 26.67 ± 2.18@@35.85,2.35 ± 2.10 / 39.59 ± 2.95@@2.35,0.89 ± 0.81 / 38.75 ± 2.89@@0.89,34.92 ± 2.33 / 14.09 ± 1.07@@34.92,26.61 ± 0.83 / 29.79 ± 1.05@@26.61,3.59 ± 1.62 / 26.92 ± 0.92@@3.59,1.24 ± 1.40 / 26.02 ± 0.99@@1.24,11.06 ± 2.27 / 28.25 ± 1.83@@11.06,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct (val)</a>,🤔,3.52@@3.52,?,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,32.81 ± 1.28 / 52.59 ± 0.89@@32.81,43.65 ± 1.32 / 37.11 ± 1.51@@43.65,39.96 ± 1.16 / 33.88 ± 1.43@@39.96,11.95 ± 2.84 / 54.81 ± 1.40@@11.95,7.98 ± 3.42 / 51.02 ± 1.72@@7.98,32.93 ± 0.56 / 0.00 ± 0.00@@32.93,22.03 ± 0.45 / 25.48 ± 0.50@@22.03,0.00 ± 0.00 / 20.20 ± 0.82@@0.00,0.00 ± 0.00 / 24.61 ± 0.59@@0.00,0.00 ± 0.00 / 22.66 ± 1.46@@0.00,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus (val)</a>,🤔,3.56@@3.56,?,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,15.85 ± 2.06 / 36.56 ± 1.56@@15.85,42.90 ± 1.39 / 39.23 ± 1.30@@42.90,45.27 ± 2.49 / 42.13 ± 2.19@@45.27,8.71 ± 2.60 / 48.22 ± 1.28@@8.71,11.03 ± 1.27 / 46.57 ± 0.68@@11.03,28.53 ± 1.48 / 12.55 ± 1.16@@28.53,22.67 ± 0.26 / 27.58 ± 0.30@@22.67,3.90 ± 1.79 / 21.60 ± 0.91@@3.90,4.11 ± 2.47 / 26.25 ± 1.25@@4.11,6.64 ± 3.47 / 24.53 ± 1.71@@6.64,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/google/gemma-4-E4B'>google/gemma-4-E4B (val)</a>,🧠,3.63@@3.63,N/A,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,14.00 ± 2.76 / 41.15 ± 2.16@@14.00,26.89 ± 1.49 / 25.22 ± 1.61@@26.89,34.66 ± 2.13 / 29.02 ± 2.51@@34.66,9.85 ± 3.25 / 53.08 ± 1.90@@9.85,-2.05 ± 3.48 / 46.82 ± 1.73@@-2.05,54.79 ± 1.89 / 29.66 ± 1.98@@54.79,17.95 ± 0.29 / 19.31 ± 0.36@@17.95,11.00 ± 1.66 / 33.75 ± 1.29@@11.00,-1.13 ± 1.26 / 24.88 ± 1.03@@-1.13,8.01 ± 4.64 / 26.88 ± 3.58@@8.01,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.68@@3.68,N/A,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,28.78 ± 4.13 / 43.49 ± 4.00@@28.78,39.20 ± 2.65 / 39.64 ± 3.37@@39.20,37.79 ± 2.34 / 39.31 ± 2.01@@37.79,2.64 ± 1.96 / 48.49 ± 2.36@@2.64,2.35 ± 1.73 / 43.74 ± 3.32@@2.35,43.49 ± 4.26 / 25.34 ± 2.83@@43.49,17.36 ± 0.97 / 19.06 ± 1.30@@17.36,0.39 ± 0.97 / 24.22 ± 0.47@@0.39,0.05 ± 0.83 / 26.02 ± 0.70@@0.05,0.95 ± 1.01 / 19.88 ± 0.57@@0.95,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.73@@3.73,N/A,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,19.00 ± 1.80 / 44.61 ± 1.92@@19.00,30.35 ± 2.61 / 28.71 ± 2.12@@30.35,30.77 ± 3.76 / 28.95 ± 3.34@@30.77,-0.56 ± 1.67 / 42.80 ± 3.76@@-0.56,0.58 ± 1.64 / 45.61 ± 2.95@@0.58,31.10 ± 4.93 / 17.60 ± 2.43@@31.10,22.20 ± 0.93 / 25.25 ± 1.05@@22.20,1.70 ± 1.20 / 28.40 ± 0.91@@1.70,0.47 ± 0.74 / 25.67 ± 0.56@@0.47,0.81 ± 1.46 / 20.75 ± 1.10@@0.81,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
